Class_id	Class_name	parent_class_id	parent_class_name	Stat	M	Redundant	Fixed	Notes
GO:1904834	nuclear CENP-A containing chromatin	GO:0061638	CENP-A containing chromatin	1				
GO:0006286	base-excision repair, base-free sugar-phosphate removal	GO:0098502	DNA dephosphorylation					
GO:0035092	sperm chromatin condensation	GO:0006259	DNA metabolic process					
GO:0019073	viral DNA genome packaging	GO:0006259	DNA metabolic process					
GO:0090160	Golgi to lysosome transport	GO:0006896	Golgi to vacuole transport					
GO:0019657	glycolytic fermentation to propionate	GO:0006734	NADH metabolic process					
GO:0019655	glycolytic fermentation to ethanol	GO:0006734	NADH metabolic process					
GO:0090011	Wnt signaling pathway involved in primitive streak formation	GO:0044333	Wnt signaling pathway involved in digestive tract morphogenesis					
GO:0060775	planar cell polarity pathway involved in gastrula mediolateral intercalation	GO:0044333	Wnt signaling pathway involved in digestive tract morphogenesis					
GO:0000758	agglutination involved in conjugation with mutual genetic exchange	GO:0000771	agglutination involved in conjugation	1	1			
GO:1903924	estradiol binding	GO:0043178	alcohol binding	0				
GO:1903794	cortisol binding	GO:0043178	alcohol binding	0				
GO:0033265	choline binding	GO:0043178	alcohol binding	0				
GO:0090411	brassinosteroid binding	GO:0043178	alcohol binding	0				
GO:0032934	sterol binding	GO:0043178	alcohol binding	0				
GO:1903878	11-deoxycorticosterone binding	GO:0043178	alcohol binding	0				
GO:1903880	17alpha-hydroxyprogesterone binding	GO:0043178	alcohol binding	0				
GO:1903879	11beta-hydroxyprogesterone binding	GO:0043178	alcohol binding	0				
GO:1903875	corticosterone binding	GO:0043178	alcohol binding	0				
GO:0031210	phosphatidylcholine binding	GO:0043178	alcohol binding	0				
GO:0005499	vitamin D binding	GO:0043178	alcohol binding	0				
GO:0061370	testosterone biosynthetic process	GO:0046165	alcohol biosynthetic process	0				
GO:0034651	cortisol biosynthetic process	GO:0046165	alcohol biosynthetic process	0				
GO:0006656	phosphatidylcholine biosynthetic process	GO:0046165	alcohol biosynthetic process	0				
GO:0016126	sterol biosynthetic process	GO:0046165	alcohol biosynthetic process	0				
GO:0032342	aldosterone biosynthetic process	GO:0046165	alcohol biosynthetic process	0				
GO:0006663	platelet activating factor biosynthetic process	GO:0046165	alcohol biosynthetic process	0				
GO:0042425	choline biosynthetic process	GO:0046165	alcohol biosynthetic process	0				
GO:0006686	sphingomyelin biosynthetic process	GO:0046165	alcohol biosynthetic process	0				
GO:0042368	vitamin D biosynthetic process	GO:0046165	alcohol biosynthetic process	0				
GO:0016129	phytosteroid biosynthetic process	GO:0046165	alcohol biosynthetic process	0				
