CHEBI	CHEBI_PH7_3	ORIGIN
3	3	computation
7	7	computation
8	8	computation
19	19	computation
20	20	computation
23	23	computation
24	24	computation
25	25	computation
26	26	computation
28	28	computation
29	29	computation
31	31	computation
33	33	computation
40	40	computation
41	41	computation
47	47	computation
53	53	computation
60	60	computation
61	61	computation
62	62	computation
63	63	computation
65	65	computation
73	73	computation
79	79	computation
88	88	computation
89	89	computation
90	90	computation
98	98	computation
99	99	computation
100	100	computation
104	104	computation
105	105	computation
108	108	computation
109	109	computation
111	111	computation
115	115	computation
118	118	computation
119	63694	computation
122	57266	computation
123	123	computation
125	125	computation
128	128	computation
129	129	computation
139	139	computation
146	146	computation
149	149	computation
150	150	computation
151	15562	computation
152	152	computation
153	153	computation
154	154	computation
155	155	computation
157	157	computation
158	158	computation
160	15563	computation
165	165	computation
166	166	computation
168	168	computation
192	192	computation
209	209	computation
211	211	computation
227	227	computation
228	228	computation
232	232	computation
233	233	computation
235	235	computation
282	282	computation
289	289	computation
299	299	computation
300	300	computation
301	301	computation
325	325	computation
326	326	computation
367	367	computation
368	368	computation
371	17388	computation
422	16651	computation
431	431	computation
444	444	computation
453	453	computation
468	85311	computation
469	469	computation
470	470	computation
488	488	computation
507	507	computation
508	508	computation
513	513	computation
520	86332	computation
531	531	computation
532	532	computation
540	540	computation
582	582	computation
598	598	computation
611	611	computation
614	614	computation
615	73943	computation
616	616	computation
631	78245	computation
641	641	computation
663	663	computation
666	666	computation
668	668	computation
669	669	computation
671	671	computation
685	685	computation
694	694	computation
701	701	computation
705	705	computation
706	706	computation
708	708	computation
709	709	computation
712	712	computation
715	715	computation
716	716	computation
732	732	computation
743	743	computation
744	744	computation
748	748	computation
756	756	computation
763	763	computation
766	136650	computation
769	58930	computation
771	771	computation
772	178100	computation
776	776	computation
783	783	computation
791	82961	computation
798	798	computation
799	799	computation
802	802	computation
835	145464	computation
847	847	computation
855	855	computation
857	58934	computation
864	16845	computation
894	894	computation
901	901	computation
904	58935	computation
915	58936	computation
920	920	computation
943	943	computation
945	945	computation
948	945	computation
949	949	computation
952	28440	computation
955	955	computation
957	957	computation
961	961	computation
963	963	computation
968	968	computation
969	969	computation
978	58939	computation
994	77612	computation
995	77612	computation
1014	1014	computation
1015	15942	computation
1040	1040	computation
1060	16699	computation
1107	1107	computation
1109	1109	computation
1110	1110	computation
1113	60886	computation
1135	79172	computation
1148	64552	computation
1156	1156	computation
1157	61904	computation
1159	60991	computation
1162	78626	computation
1178	1178	computation
1182	1182	computation
1184	16468	computation
1189	1189	computation
1196	1196	computation
1215	1215	computation
1217	1217	computation
1220	1220	computation
1221	1221	computation
1224	1224	computation
1228	1228	computation
1230	1230	computation
1233	1233	computation
1235	1235	computation
1237	1237	computation
1263	1263	computation
1269	1269	computation
1277	57272	computation
1283	1283	computation
1294	1294	computation
1296	1296	computation
1298	1298	computation
1301	1301	computation
1307	1307	computation
1309	1309	computation
1310	1310	computation
1336	1336	computation
1367	1367	computation
1369	1369	computation
1372	15893	computation
1387	1387	computation
1390	1390	computation
1395	57274	computation
1406	1406	computation
1416	1416	computation
1418	1418	computation
1427	57277	computation
1428	1428	computation
1438	49016	computation
1442	1442	computation
1444	1444	computation
1447	57278	computation
1449	57279	computation
1458	1458	computation
1461	62211	computation
1467	17214	computation
1472	17589	computation
1480	1480	computation
1506	16854	computation
1556	1556	computation
1576	1576	computation
1580	1580	computation
1581	1581	computation
1582	192089	computation
1587	1587	computation
1588	1588	computation
1606	132918	computation
1617	1617	computation
1624	1624	computation
1634	1634	computation
1637	1637	computation
1639	1639	computation
1642	1642	computation
1643	1643	computation
1646	1646	computation
1655	1655	computation
1665	140699	computation
1670	74414	computation
1683	1683	computation
1684	1684	computation
1689	1689	computation
1690	1690	computation
1712	1712	computation
1722	1722	computation
1728	1728	computation
1729	1729	computation
1730	1730	computation
1734	1734	computation
1736	1736	computation
1737	1737	computation
1744	1744	computation
1749	1749	computation
1760	1760	computation
1774	17237	computation
1784	1784	computation
1794	142690	computation
1800	1800	computation
1808	28739	computation
1826	1826	computation
1848	167901	computation
1864	1864	computation
1865	62724	computation
1867	1867	computation
1879	1879	computation
1883	1883	computation
1887	1887	computation
1890	62725	computation
1893	1893	computation
1894	190141	computation
1895	1895	computation
1904	144582	computation
1905	144581	computation
1909	1909	computation
1911	1911	computation
1921	15777	computation
1926	1926	computation
1927	1927	computation
1931	1931	computation
1932	1932	computation
1934	1934	computation
1941	16244	computation
1949	1949	computation
1958	1958	computation
1959	1959	computation
1995	1995	computation
1997	1997	computation
2003	16875	computation
2010	86003	computation
2015	2015	computation
2022	2022	computation
2024	79193	computation
2030	2030	computation
2038	2038	computation
2040	15376	computation
2063	2063	computation
2069	144381	computation
2082	78326	computation
2089	166874	computation
2091	2091	computation
2106	91005	computation
2108	2108	computation
2110	2110	computation
2120	2120	computation
2124	2124	computation
2128	2128	computation
2150	2150	computation
2156	2156	computation
2164	58498	computation
2165	17982	computation
2169	2169	computation
2177	2177	computation
2179	2179	computation
2181	2181	computation
2183	2183	computation
2196	2196	computation
2198	2198	computation
2202	2202	computation
2208	2208	computation
2209	2209	computation
2210	2210	computation
2212	2212	computation
2213	2213	computation
2220	2220	computation
2222	2222	computation
2226	2226	computation
2229	20750	computation
2244	2244	computation
2245	2245	computation
2246	2246	computation
2247	58500	computation
2251	72788	computation
2255	58501	computation
2258	2258	computation
2259	2259	computation
2260	76844	computation
2262	2262	computation
2267	2267	computation
2287	2287	computation
2288	2288	computation
2290	2290	computation
2294	2294	computation
2295	2295	computation
2296	2296	computation
2307	2307	computation
2310	2310	computation
2311	2311	computation
2312	2312	computation
2313	2313	computation
2315	2315	computation
2316	2316	computation
2317	2317	computation
2318	2318	computation
2319	2319	computation
2320	2320	computation
2327	2327	computation
