defined_class	defined_class_label	regulated_activity	regulated_activity_label
http://purl.obolibrary.org/obo/GO_0030337	DNA polymerase processivity factor activity	http://purl.obolibrary.org/obo/GO_0034061	DNA polymerase activity
http://purl.obolibrary.org/obo/GO_0140619	DNA strand exchange activator activity	http://purl.obolibrary.org/obo/GO_0000150	DNA strand exchange activity
http://purl.obolibrary.org/obo/GO_0005096	GTPase activator activity	http://purl.obolibrary.org/obo/GO_0003924	GTPase activity
http://purl.obolibrary.org/obo/GO_0140608	cysteine-type endopeptidase activator activity	http://purl.obolibrary.org/obo/GO_0004197	cysteine-type endopeptidase activity
http://purl.obolibrary.org/obo/GO_0035800	deubiquitinase activator activity	http://purl.obolibrary.org/obo/GO_0101005	deubiquitinase activity
http://purl.obolibrary.org/obo/GO_0061133	endopeptidase activator activity	http://purl.obolibrary.org/obo/GO_0004175	endopeptidase activity
http://purl.obolibrary.org/obo/GO_0008047	enzyme activator activity	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/GO_0019209	kinase activator activity	http://purl.obolibrary.org/obo/GO_0016301	kinase activity
http://purl.obolibrary.org/obo/GO_0016504	peptidase activator activity	http://purl.obolibrary.org/obo/GO_0008233	peptidase activity
http://purl.obolibrary.org/obo/GO_0019211	phosphatase activator activity	http://purl.obolibrary.org/obo/GO_0016791	phosphatase activity
http://purl.obolibrary.org/obo/GO_0072542	protein phosphatase activator activity	http://purl.obolibrary.org/obo/GO_0004721	phosphoprotein phosphatase activity
http://purl.obolibrary.org/obo/GO_0008160	protein tyrosine phosphatase activator activity	http://purl.obolibrary.org/obo/GO_0004725	protein tyrosine phosphatase activity
