defined_class	defined_class_label	target	target_label
http://purl.obolibrary.org/obo/GO_0070384	Harderian gland development	http://purl.obolibrary.org/obo/UBERON_0004187	Harderian gland
http://purl.obolibrary.org/obo/GO_0003164	His-Purkinje system development	http://purl.obolibrary.org/obo/UBERON_0004146	His-Purkinje system
http://purl.obolibrary.org/obo/GO_0072002	Malpighian tubule development	http://purl.obolibrary.org/obo/UBERON_0001054	Malpighian tubule
http://purl.obolibrary.org/obo/GO_0048541	Peyer's patch development	http://purl.obolibrary.org/obo/UBERON_0001211	Peyer's patch
http://purl.obolibrary.org/obo/GO_0003165	Purkinje myocyte development	http://purl.obolibrary.org/obo/UBERON_0002354	cardiac Purkinje fiber
http://purl.obolibrary.org/obo/GO_0021560	abducens nerve development	http://purl.obolibrary.org/obo/UBERON_0001646	abducens nerve
http://purl.obolibrary.org/obo/GO_0021742	abducens nucleus development	http://purl.obolibrary.org/obo/UBERON_0002682	abducens nucleus
http://purl.obolibrary.org/obo/GO_0021565	accessory nerve development	http://purl.obolibrary.org/obo/UBERON_0002019	accessory XI nerve
http://purl.obolibrary.org/obo/GO_0021984	adenohypophysis development	http://purl.obolibrary.org/obo/UBERON_0002196	adenohypophysis
http://purl.obolibrary.org/obo/GO_0060612	adipose tissue development	http://purl.obolibrary.org/obo/UBERON_0001013	adipose tissue
http://purl.obolibrary.org/obo/GO_0035801	adrenal cortex development	http://purl.obolibrary.org/obo/UBERON_0001235	adrenal cortex
http://purl.obolibrary.org/obo/GO_0030325	adrenal gland development	http://purl.obolibrary.org/obo/UBERON_0002369	adrenal gland
http://purl.obolibrary.org/obo/GO_1905069	allantois development	http://purl.obolibrary.org/obo/UBERON_0004340	allantois
http://purl.obolibrary.org/obo/GO_0061143	alveolar primary septum development	http://purl.obolibrary.org/obo/UBERON_0005314	alveolar primary septum
http://purl.obolibrary.org/obo/GO_0061144	alveolar secondary septum development	http://purl.obolibrary.org/obo/UBERON_0005315	alveolar secondary septum
http://purl.obolibrary.org/obo/GO_0021541	ammon gyrus development	http://purl.obolibrary.org/obo/UBERON_0001954	Ammon's horn
http://purl.obolibrary.org/obo/GO_0003386	amphid sensory organ development	http://purl.obolibrary.org/obo/UBERON_0005067	amphid sensory organ
http://purl.obolibrary.org/obo/GO_0021764	amygdala development	http://purl.obolibrary.org/obo/UBERON_0001876	amygdala
http://purl.obolibrary.org/obo/GO_0033335	anal fin development	http://purl.obolibrary.org/obo/UBERON_4000163	anal fin
http://purl.obolibrary.org/obo/GO_0048513	animal organ development	http://purl.obolibrary.org/obo/UBERON_0000062	organ
http://purl.obolibrary.org/obo/GO_0048899	anterior lateral line development	http://purl.obolibrary.org/obo/UBERON_2001470	anterior lateral line
http://purl.obolibrary.org/obo/GO_0048907	anterior lateral line ganglion development	http://purl.obolibrary.org/obo/UBERON_2001391	anterior lateral line ganglion
http://purl.obolibrary.org/obo/GO_0048909	anterior lateral line nerve development	http://purl.obolibrary.org/obo/UBERON_2000425	anterior lateral line nerve
http://purl.obolibrary.org/obo/GO_0048901	anterior lateral line neuromast development	http://purl.obolibrary.org/obo/UBERON_2001472	anterior lateral line neuromast
http://purl.obolibrary.org/obo/GO_0072165	anterior mesonephric tubule development	http://purl.obolibrary.org/obo/UBERON_0005104	anterior mesonephric tubule
http://purl.obolibrary.org/obo/GO_0060873	anterior semicircular canal development	http://purl.obolibrary.org/obo/UBERON_0001841	anterior semicircular canal
http://purl.obolibrary.org/obo/GO_0035904	aorta development	http://purl.obolibrary.org/obo/UBERON_0000947	aorta
http://purl.obolibrary.org/obo/GO_0003176	aortic valve development	http://purl.obolibrary.org/obo/UBERON_0002137	aortic valve
http://purl.obolibrary.org/obo/GO_0150022	apical dendrite development	http://purl.obolibrary.org/obo/GO_0097440	apical dendrite
http://purl.obolibrary.org/obo/GO_0048736	appendage development	http://purl.obolibrary.org/obo/UBERON_0000026	appendage
http://purl.obolibrary.org/obo/GO_0060840	artery development	http://purl.obolibrary.org/obo/UBERON_0001637	artery
http://purl.obolibrary.org/obo/GO_0035905	ascending aorta development	http://purl.obolibrary.org/obo/UBERON_0001496	ascending aorta
http://purl.obolibrary.org/obo/GO_0072021	ascending thin limb development	http://purl.obolibrary.org/obo/UBERON_0004193	loop of Henle ascending limb thin segment
http://purl.obolibrary.org/obo/GO_0003228	atrial cardiac muscle tissue development	http://purl.obolibrary.org/obo/UBERON_0004490	cardiac muscle tissue of atrium
http://purl.obolibrary.org/obo/GO_0003283	atrial septum development	http://purl.obolibrary.org/obo/UBERON_0002085	interatrial septum
http://purl.obolibrary.org/obo/GO_0003286	atrial septum intermedium development	http://purl.obolibrary.org/obo/UBERON_0004159	atrial septum intermedium
http://purl.obolibrary.org/obo/GO_0003162	atrioventricular node development	http://purl.obolibrary.org/obo/UBERON_0002352	atrioventricular node
http://purl.obolibrary.org/obo/GO_0003171	atrioventricular valve development	http://purl.obolibrary.org/obo/UBERON_0002133	atrioventricular valve
http://purl.obolibrary.org/obo/GO_0048483	autonomic nervous system development	http://purl.obolibrary.org/obo/UBERON_0002410	autonomic nervous system
http://purl.obolibrary.org/obo/GO_1990375	baculum development	http://purl.obolibrary.org/obo/UBERON_0006435	os penis
http://purl.obolibrary.org/obo/GO_0150018	basal dendrite development	http://purl.obolibrary.org/obo/GO_0097441	basal dendrite
http://purl.obolibrary.org/obo/GO_0071728	beak development	http://purl.obolibrary.org/obo/UBERON_0005094	beak
http://purl.obolibrary.org/obo/GO_0001568	blood vessel development	http://purl.obolibrary.org/obo/UBERON_0001981	blood vessel
http://purl.obolibrary.org/obo/GO_0048539	bone marrow development	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
http://purl.obolibrary.org/obo/GO_0007420	brain development	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/GO_0003360	brainstem development	http://purl.obolibrary.org/obo/UBERON_0002298	brainstem
http://purl.obolibrary.org/obo/GO_0014707	branchiomeric skeletal muscle development	http://purl.obolibrary.org/obo/UBERON_0004164	branchiomeric muscle
http://purl.obolibrary.org/obo/GO_0060435	bronchiole development	http://purl.obolibrary.org/obo/UBERON_0002186	bronchiole
http://purl.obolibrary.org/obo/GO_0060532	bronchus cartilage development	http://purl.obolibrary.org/obo/UBERON_0001956	cartilage of bronchus
http://purl.obolibrary.org/obo/GO_0060433	bronchus development	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus
http://purl.obolibrary.org/obo/GO_0003232	bulbus arteriosus development	http://purl.obolibrary.org/obo/UBERON_0004152	bulbus arteriosus
http://purl.obolibrary.org/obo/GO_0003166	bundle of His development	http://purl.obolibrary.org/obo/UBERON_0002353	bundle of His
http://purl.obolibrary.org/obo/GO_0048540	bursa of Fabricius development	http://purl.obolibrary.org/obo/UBERON_0003903	bursa of Fabricius
http://purl.obolibrary.org/obo/GO_1903700	caecum development	http://purl.obolibrary.org/obo/UBERON_0001153	caecum
http://purl.obolibrary.org/obo/GO_0043010	camera-type eye development	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye
http://purl.obolibrary.org/obo/GO_0003230	cardiac atrium development	http://purl.obolibrary.org/obo/UBERON_0002081	cardiac atrium
http://purl.obolibrary.org/obo/GO_0003205	cardiac chamber development	http://purl.obolibrary.org/obo/UBERON_0004151	cardiac chamber
http://purl.obolibrary.org/obo/GO_0003161	cardiac conduction system development	http://purl.obolibrary.org/obo/UBERON_0002350	conducting system of heart
http://purl.obolibrary.org/obo/GO_1905072	cardiac jelly development	http://purl.obolibrary.org/obo/UBERON_0003906	cardiac jelly
http://purl.obolibrary.org/obo/GO_0048738	cardiac muscle tissue development	http://purl.obolibrary.org/obo/UBERON_0001133	cardiac muscle tissue
http://purl.obolibrary.org/obo/GO_0060926	cardiac pacemaker cell development	http://purl.obolibrary.org/obo/CL_0002072	nodal myocyte
http://purl.obolibrary.org/obo/GO_0003279	cardiac septum development	http://purl.obolibrary.org/obo/UBERON_0002099	cardiac septum
http://purl.obolibrary.org/obo/GO_0003204	cardiac skeleton development	http://purl.obolibrary.org/obo/UBERON_0004292	cardiac skeleton
http://purl.obolibrary.org/obo/GO_0003231	cardiac ventricle development	http://purl.obolibrary.org/obo/UBERON_0002082	cardiac ventricle
