defined_class	defined_class_label	target	target_label
http://purl.obolibrary.org/obo/GO_0007443	Malpighian tubule morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001054	Malpighian tubule
http://purl.obolibrary.org/obo/GO_0061146	Peyer's patch morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001211	Peyer's patch
http://purl.obolibrary.org/obo/GO_0048855	adenohypophysis morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002196	adenohypophysis
http://purl.obolibrary.org/obo/GO_0035144	anal fin morphogenesis	http://purl.obolibrary.org/obo/UBERON_4000163	anal fin
http://purl.obolibrary.org/obo/GO_0009887	animal organ morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000062	organ
http://purl.obolibrary.org/obo/GO_0048800	antennal morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000972	antenna
http://purl.obolibrary.org/obo/GO_0035909	aorta morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000947	aorta
http://purl.obolibrary.org/obo/GO_0060414	aorta smooth muscle tissue morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004178	aorta smooth muscle tissue
http://purl.obolibrary.org/obo/GO_0003180	aortic valve morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002137	aortic valve
http://purl.obolibrary.org/obo/GO_0035107	appendage morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000026	appendage
http://purl.obolibrary.org/obo/GO_0048844	artery morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001637	artery
http://purl.obolibrary.org/obo/GO_0035910	ascending aorta morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001496	ascending aorta
http://purl.obolibrary.org/obo/GO_0055009	atrial cardiac muscle tissue morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004490	cardiac muscle tissue of atrium
http://purl.obolibrary.org/obo/GO_0003291	atrial septum intermedium morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004159	atrial septum intermedium
http://purl.obolibrary.org/obo/GO_0060413	atrial septum morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002085	interatrial septum
http://purl.obolibrary.org/obo/GO_0003289	atrial septum primum morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004154	atrial septum primum
http://purl.obolibrary.org/obo/GO_0003290	atrial septum secundum morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004155	atrial septum secundum
http://purl.obolibrary.org/obo/GO_0003181	atrioventricular valve morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002133	atrioventricular valve
http://purl.obolibrary.org/obo/GO_0071729	beak morphogenesis	http://purl.obolibrary.org/obo/UBERON_0005094	beak
http://purl.obolibrary.org/obo/GO_0048514	blood vessel morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001981	blood vessel
http://purl.obolibrary.org/obo/GO_0010171	body morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism
http://purl.obolibrary.org/obo/GO_0060349	bone morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001474	bone element
http://purl.obolibrary.org/obo/GO_0048854	brain morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/GO_0060436	bronchiole morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002186	bronchiole
http://purl.obolibrary.org/obo/GO_0060533	bronchus cartilage morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001956	cartilage of bronchus
http://purl.obolibrary.org/obo/GO_0060434	bronchus morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus
http://purl.obolibrary.org/obo/GO_0003233	bulbus arteriosus morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004152	bulbus arteriosus
http://purl.obolibrary.org/obo/GO_0048593	camera-type eye morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye
http://purl.obolibrary.org/obo/GO_0003209	cardiac atrium morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002081	cardiac atrium
http://purl.obolibrary.org/obo/GO_0003206	cardiac chamber morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004151	cardiac chamber
http://purl.obolibrary.org/obo/GO_0003212	cardiac left atrium morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002079	left cardiac atrium
http://purl.obolibrary.org/obo/GO_0003214	cardiac left ventricle morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002084	heart left ventricle
http://purl.obolibrary.org/obo/GO_0055008	cardiac muscle tissue morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001133	cardiac muscle tissue
http://purl.obolibrary.org/obo/GO_0003213	cardiac right atrium morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002078	right cardiac atrium
http://purl.obolibrary.org/obo/GO_0003215	cardiac right ventricle morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002080	heart right ventricle
http://purl.obolibrary.org/obo/GO_0060411	cardiac septum morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002099	cardiac septum
http://purl.obolibrary.org/obo/GO_0003208	cardiac ventricle morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002082	cardiac ventricle
http://purl.obolibrary.org/obo/GO_0060536	cartilage morphogenesis	http://purl.obolibrary.org/obo/UBERON_0007844	cartilage element
http://purl.obolibrary.org/obo/GO_0035143	caudal fin morphogenesis	http://purl.obolibrary.org/obo/UBERON_4000164	caudal fin
http://purl.obolibrary.org/obo/GO_0021551	central nervous system morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/GO_0021587	cerebellum morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum
http://purl.obolibrary.org/obo/GO_0061073	ciliary body morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001775	ciliary body
http://purl.obolibrary.org/obo/GO_0090103	cochlea morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001844	cochlea
http://purl.obolibrary.org/obo/GO_0001745	compound eye morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000018	compound eye
http://purl.obolibrary.org/obo/GO_0003239	conus arteriosus morphogenesis	http://purl.obolibrary.org/obo/UBERON_0003983	conus arteriosus
http://purl.obolibrary.org/obo/GO_0060365	coronal suture morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002489	coronal suture
http://purl.obolibrary.org/obo/GO_0060982	coronary artery morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001621	coronary artery
http://purl.obolibrary.org/obo/GO_0003182	coronary sinus valve morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004150	coronary sinus valve
http://purl.obolibrary.org/obo/GO_0060977	coronary vasculature morphogenesis	http://purl.obolibrary.org/obo/UBERON_0003498	heart blood vessel
http://purl.obolibrary.org/obo/GO_0003169	coronary vein morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004148	cardiac vein
http://purl.obolibrary.org/obo/GO_0061559	cranial ganglion morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001714	cranial ganglion
http://purl.obolibrary.org/obo/GO_0060363	cranial suture morphogenesis	http://purl.obolibrary.org/obo/UBERON_0003685	cranial suture
http://purl.obolibrary.org/obo/GO_0035911	descending aorta morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001514	descending aorta
http://purl.obolibrary.org/obo/GO_0060540	diaphragm morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001103	diaphragm
http://purl.obolibrary.org/obo/GO_0048852	diencephalon morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001894	diencephalon
http://purl.obolibrary.org/obo/GO_0048546	digestive tract morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001555	digestive tract
http://purl.obolibrary.org/obo/GO_0072156	distal tubule morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004135	distal tubule
http://purl.obolibrary.org/obo/GO_0035912	dorsal aorta morphogenesis	http://purl.obolibrary.org/obo/UBERON_0005805	dorsal aorta
http://purl.obolibrary.org/obo/GO_0035142	dorsal fin morphogenesis	http://purl.obolibrary.org/obo/UBERON_0003097	dorsal fin
http://purl.obolibrary.org/obo/GO_1904835	dorsal root ganglion morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000044	dorsal root ganglion
http://purl.obolibrary.org/obo/GO_0042471	ear morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001690	ear
http://purl.obolibrary.org/obo/GO_0003143	embryonic heart tube morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004141	heart tube
http://purl.obolibrary.org/obo/GO_0003203	endocardial cushion morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002062	endocardial cushion
http://purl.obolibrary.org/obo/GO_0003160	endocardium morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002165	endocardium
http://purl.obolibrary.org/obo/GO_0061154	endothelial tube morphogenesis	http://purl.obolibrary.org/obo/UBERON_0003915	endothelial tube
http://purl.obolibrary.org/obo/GO_1905223	epicardium morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002348	epicardium
http://purl.obolibrary.org/obo/GO_0048730	epidermis morphogenesis	http://purl.obolibrary.org/obo/UBERON_0007376	outer epithelium
http://purl.obolibrary.org/obo/GO_0060562	epithelial tube morphogenesis	http://purl.obolibrary.org/obo/UBERON_0003914	epithelial tube
http://purl.obolibrary.org/obo/GO_0035261	external genitalia morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004176	external genitalia
http://purl.obolibrary.org/obo/GO_0048592	eye morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000970	eye
http://purl.obolibrary.org/obo/GO_0060325	face morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001456	face
http://purl.obolibrary.org/obo/GO_1904836	facioacoustic ganglion morphogenesis	http://purl.obolibrary.org/obo/UBERON_0012175	acoustico-facial VII-VIII ganglion complex
http://purl.obolibrary.org/obo/GO_0061040	female gonad morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000992	ovary
http://purl.obolibrary.org/obo/GO_1905285	fibrous ring of heart morphogenesis	http://purl.obolibrary.org/obo/UBERON_0006008	fibrous ring of heart
http://purl.obolibrary.org/obo/GO_0033334	fin morphogenesis	http://purl.obolibrary.org/obo/UBERON_0008897	fin
http://purl.obolibrary.org/obo/GO_0033505	floor plate morphogenesis	http://purl.obolibrary.org/obo/UBERON_0003079	floor plate
http://purl.obolibrary.org/obo/GO_0048853	forebrain morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001890	forebrain
http://purl.obolibrary.org/obo/GO_0007440	foregut morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001041	foregut
http://purl.obolibrary.org/obo/GO_0035136	forelimb morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002102	forelimb
http://purl.obolibrary.org/obo/GO_0060364	frontal suture morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002490	frontal suture
http://purl.obolibrary.org/obo/GO_0061197	fungiform papilla morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002448	fungiform papilla
http://purl.obolibrary.org/obo/GO_0061552	ganglion morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000045	ganglion
http://purl.obolibrary.org/obo/GO_0035112	genitalia morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000990	reproductive system
http://purl.obolibrary.org/obo/GO_0022612	gland morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002530	gland
http://purl.obolibrary.org/obo/GO_0072102	glomerulus morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000074	renal glomerulus
http://purl.obolibrary.org/obo/GO_0035262	gonad morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000991	gonad
http://purl.obolibrary.org/obo/GO_0003422	growth plate cartilage morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004129	growth plate cartilage
http://purl.obolibrary.org/obo/GO_0031069	hair follicle morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002073	hair follicle
http://purl.obolibrary.org/obo/GO_0048735	haltere morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000987	haltere
http://purl.obolibrary.org/obo/GO_0072115	head kidney morphogenesis	http://purl.obolibrary.org/obo/UBERON_0007132	head kidney
http://purl.obolibrary.org/obo/GO_0060323	head morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000033	head
http://purl.obolibrary.org/obo/GO_0003007	heart morphogenesis	http://purl.obolibrary.org/obo/UBERON_0007100	primary circulatory organ
http://purl.obolibrary.org/obo/GO_0003314	heart rudiment morphogenesis	http://purl.obolibrary.org/obo/UBERON_0004291	heart rudiment
http://purl.obolibrary.org/obo/GO_0061384	heart trabecula morphogenesis	http://purl.obolibrary.org/obo/UBERON_0002511	trabecula carnea
http://purl.obolibrary.org/obo/GO_0003179	heart valve morphogenesis	http://purl.obolibrary.org/obo/UBERON_0000946	cardial valve
