defined_class	defined_class_label	membrane	membrane_label
http://purl.obolibrary.org/obo/GO_0036405	anchored component of cell outer membrane	http://purl.obolibrary.org/obo/GO_0009279	cell outer membrane
http://purl.obolibrary.org/obo/GO_0099036	anchored component of neuronal dense core vesicle membrane	http://purl.obolibrary.org/obo/GO_0099012	neuronal dense core vesicle membrane
http://purl.obolibrary.org/obo/GO_0046658	anchored component of plasma membrane	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane
http://purl.obolibrary.org/obo/GO_0099031	anchored component of postsynaptic density membrane	http://purl.obolibrary.org/obo/GO_0098839	postsynaptic density membrane
http://purl.obolibrary.org/obo/GO_0099032	anchored component of postsynaptic early endosome membrane	http://purl.obolibrary.org/obo/GO_0098896	postsynaptic early endosome membrane
http://purl.obolibrary.org/obo/GO_0099034	anchored component of postsynaptic endosome membrane	http://purl.obolibrary.org/obo/GO_0098895	postsynaptic endosome membrane
http://purl.obolibrary.org/obo/GO_0099025	anchored component of postsynaptic membrane	http://purl.obolibrary.org/obo/GO_0045211	postsynaptic membrane
http://purl.obolibrary.org/obo/GO_0099033	anchored component of postsynaptic recycling endosome membrane	http://purl.obolibrary.org/obo/GO_0098944	postsynaptic recycling endosome membrane
http://purl.obolibrary.org/obo/GO_0099030	anchored component of postsynaptic specialization membrane	http://purl.obolibrary.org/obo/GO_0099634	postsynaptic specialization membrane
http://purl.obolibrary.org/obo/GO_0099169	anchored component of postsynaptic specialization membrane of symmetric synapse	http://purl.obolibrary.org/obo/GO_0099164	postsynaptic specialization membrane of symmetric synapse
http://purl.obolibrary.org/obo/GO_0099028	anchored component of postynaptic endocytic zone membrane	http://purl.obolibrary.org/obo/GO_0098844	postsynaptic endocytic zone membrane
http://purl.obolibrary.org/obo/GO_0099029	anchored component of presynaptic active zone membrane	http://purl.obolibrary.org/obo/GO_0048787	presynaptic active zone membrane
http://purl.obolibrary.org/obo/GO_0099027	anchored component of presynaptic endocytic zone membrane	http://purl.obolibrary.org/obo/GO_0098835	presynaptic endocytic zone membrane
http://purl.obolibrary.org/obo/GO_0099037	anchored component of presynaptic endosome membrane	http://purl.obolibrary.org/obo/GO_0098954	presynaptic endosome membrane
http://purl.obolibrary.org/obo/GO_0099026	anchored component of presynaptic membrane	http://purl.obolibrary.org/obo/GO_0042734	presynaptic membrane
http://purl.obolibrary.org/obo/GO_0099035	anchored component of spine apparatus membrane	http://purl.obolibrary.org/obo/GO_0098897	spine apparatus membrane
http://purl.obolibrary.org/obo/GO_0099144	anchored component of synaptic membrane	http://purl.obolibrary.org/obo/GO_0097060	synaptic membrane
http://purl.obolibrary.org/obo/GO_0098993	anchored component of synaptic vesicle membrane	http://purl.obolibrary.org/obo/GO_0030672	synaptic vesicle membrane
http://purl.obolibrary.org/obo/GO_0098753	anchored component of the cytoplasmic side of the plasma membrane	http://purl.obolibrary.org/obo/GO_0009898	cytoplasmic side of plasma membrane
