defined_class	defined_class_label	input1	input1_label	input2	input2_label
http://purl.obolibrary.org/obo/GO_0044667	(R)-carnitine:4-(trimethylammonio)butanoate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_16244	4-(trimethylammonio)butanoate	http://purl.obolibrary.org/obo/CHEBI_16347	(R)-carnitine
http://purl.obolibrary.org/obo/GO_0044667	(R)-carnitine:4-(trimethylammonio)butanoate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_16347	(R)-carnitine	http://purl.obolibrary.org/obo/CHEBI_16244	4-(trimethylammonio)butanoate
http://purl.obolibrary.org/obo/GO_0140988	ADP:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate	http://purl.obolibrary.org/obo/CHEBI_456216	ADP(3-)
http://purl.obolibrary.org/obo/GO_0140988	ADP:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_456216	ADP(3-)	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate
http://purl.obolibrary.org/obo/GO_0005471	ATP:ADP antiporter activity	http://purl.obolibrary.org/obo/CHEBI_30616	ATP(4-)	http://purl.obolibrary.org/obo/CHEBI_456216	ADP(3-)
http://purl.obolibrary.org/obo/GO_0005471	ATP:ADP antiporter activity	http://purl.obolibrary.org/obo/CHEBI_456216	ADP(3-)	http://purl.obolibrary.org/obo/CHEBI_30616	ATP(4-)
http://purl.obolibrary.org/obo/GO_0140987	ATP:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_30616	ATP(4-)	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate
http://purl.obolibrary.org/obo/GO_0140987	ATP:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate	http://purl.obolibrary.org/obo/CHEBI_30616	ATP(4-)
http://purl.obolibrary.org/obo/GO_0010292	GTP:GDP antiporter activity	http://purl.obolibrary.org/obo/CHEBI_37565	GTP(4-)	http://purl.obolibrary.org/obo/CHEBI_58189	GDP(3-)
http://purl.obolibrary.org/obo/GO_0010292	GTP:GDP antiporter activity	http://purl.obolibrary.org/obo/CHEBI_58189	GDP(3-)	http://purl.obolibrary.org/obo/CHEBI_37565	GTP(4-)
http://purl.obolibrary.org/obo/GO_0140407	L-alanine:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_15378	hydron	http://purl.obolibrary.org/obo/CHEBI_57972	L-alanine zwitterion
http://purl.obolibrary.org/obo/GO_0140407	L-alanine:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_57972	L-alanine zwitterion	http://purl.obolibrary.org/obo/CHEBI_15378	hydron
http://purl.obolibrary.org/obo/GO_0062057	L-aspartate:fumarate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_29806	fumarate(2-)	http://purl.obolibrary.org/obo/CHEBI_29991	L-aspartate(1-)
http://purl.obolibrary.org/obo/GO_0062057	L-aspartate:fumarate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_29991	L-aspartate(1-)	http://purl.obolibrary.org/obo/CHEBI_29806	fumarate(2-)
http://purl.obolibrary.org/obo/GO_0106421	L-glutamate:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_15378	hydron	http://purl.obolibrary.org/obo/CHEBI_29985	L-glutamate(1-)
http://purl.obolibrary.org/obo/GO_0106421	L-glutamate:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_29985	L-glutamate(1-)	http://purl.obolibrary.org/obo/CHEBI_15378	hydron
http://purl.obolibrary.org/obo/GO_0106439	L-lysine:L-arginine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_32551	L-lysinium(1+)	http://purl.obolibrary.org/obo/CHEBI_32682	L-argininium(1+)
http://purl.obolibrary.org/obo/GO_0106439	L-lysine:L-arginine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_32682	L-argininium(1+)	http://purl.obolibrary.org/obo/CHEBI_32551	L-lysinium(1+)
http://purl.obolibrary.org/obo/GO_0180003	S-adenosyl-L-methionine:S-adenosyl-L-homocysteine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_57856	S-adenosyl-L-homocysteine zwitterion	http://purl.obolibrary.org/obo/CHEBI_59789	S-adenosyl-L-methionine zwitterion
http://purl.obolibrary.org/obo/GO_0180003	S-adenosyl-L-methionine:S-adenosyl-L-homocysteine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_59789	S-adenosyl-L-methionine zwitterion	http://purl.obolibrary.org/obo/CHEBI_57856	S-adenosyl-L-homocysteine zwitterion
http://purl.obolibrary.org/obo/GO_0015325	acetyl-CoA:CoA antiporter activity	http://purl.obolibrary.org/obo/CHEBI_57287	coenzyme A(4-)	http://purl.obolibrary.org/obo/CHEBI_57288	acetyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_0015325	acetyl-CoA:CoA antiporter activity	http://purl.obolibrary.org/obo/CHEBI_57288	acetyl-CoA(4-)	http://purl.obolibrary.org/obo/CHEBI_57287	coenzyme A(4-)
http://purl.obolibrary.org/obo/GO_0005278	acetylcholine:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_15355	acetylcholine	http://purl.obolibrary.org/obo/CHEBI_15378	hydron
http://purl.obolibrary.org/obo/GO_0005278	acetylcholine:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_15378	hydron	http://purl.obolibrary.org/obo/CHEBI_15355	acetylcholine
http://purl.obolibrary.org/obo/GO_0042962	acridine:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_15378	hydron	http://purl.obolibrary.org/obo/CHEBI_36420	acridine
http://purl.obolibrary.org/obo/GO_0042962	acridine:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_36420	acridine	http://purl.obolibrary.org/obo/CHEBI_15378	hydron
http://purl.obolibrary.org/obo/GO_0043861	agmatine:putrescine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_326268	1,4-butanediammonium	http://purl.obolibrary.org/obo/CHEBI_58145	agmatinium(2+)
http://purl.obolibrary.org/obo/GO_0043861	agmatine:putrescine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_58145	agmatinium(2+)	http://purl.obolibrary.org/obo/CHEBI_326268	1,4-butanediammonium
http://purl.obolibrary.org/obo/GO_0140848	amino acid:monoatomic cation antiporter activity	http://purl.obolibrary.org/obo/CHEBI_23906	monoatomic cation	http://purl.obolibrary.org/obo/CHEBI_35238	amino acid zwitterion
http://purl.obolibrary.org/obo/GO_0140848	amino acid:monoatomic cation antiporter activity	http://purl.obolibrary.org/obo/CHEBI_35238	amino acid zwitterion	http://purl.obolibrary.org/obo/CHEBI_23906	monoatomic cation
http://purl.obolibrary.org/obo/GO_0015314	aminotriazole:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_15378	hydron	http://purl.obolibrary.org/obo/CHEBI_40036	amitrole
http://purl.obolibrary.org/obo/GO_0015314	aminotriazole:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_40036	amitrole	http://purl.obolibrary.org/obo/CHEBI_15378	hydron
