defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_1901708	(+)-3'-hydroxylarreatricin biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_67154	(+)-3'-hydroxylarreatricin
http://purl.obolibrary.org/obo/GO_0046211	(+)-camphor biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_15396	(R)-camphor
http://purl.obolibrary.org/obo/GO_1901943	(+)-epi-alpha-bisabolol biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_68658	(+)-epi-alpha-bisabolol
http://purl.obolibrary.org/obo/GO_1900596	(+)-kotanin biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_64454	(+)-kotanin
http://purl.obolibrary.org/obo/GO_1902132	(+)-lariciresinol biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_67246	(+)-lariciresinol
http://purl.obolibrary.org/obo/GO_1902126	(+)-pinoresinol biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_40	(+)-pinoresinol
http://purl.obolibrary.org/obo/GO_1902135	(+)-secoisolariciresinol biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_67247	(+)-secoisolariciresinol
http://purl.obolibrary.org/obo/GO_1901940	(-)-exo-alpha-bergamotene biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_62756	(-)-exo-alpha-bergamotene
http://purl.obolibrary.org/obo/GO_1902129	(-)-lariciresinol biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_67244	(-)-lariciresinol
http://purl.obolibrary.org/obo/GO_1901512	(-)-microperfuranone biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_64974	(-)-microperfuranone
http://purl.obolibrary.org/obo/GO_1901599	(-)-pinoresinol biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_67245	(-)-pinoresinol
http://purl.obolibrary.org/obo/GO_1902138	(-)-secoisolariciresinol biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_65004	(-)-secoisolariciresinol
http://purl.obolibrary.org/obo/GO_1900994	(-)-secologanin biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_18002	(-)-secologanin
http://purl.obolibrary.org/obo/GO_0070596	(1->3)-alpha-glucan biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_28100	(1->3)-alpha-D-glucan
http://purl.obolibrary.org/obo/GO_0006075	(1->3)-beta-D-glucan biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_37671	(1->3)-beta-D-glucan
http://purl.obolibrary.org/obo/GO_0070630	(1->4)-alpha-glucan biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_15444	(1->4)-alpha-D-glucan
http://purl.obolibrary.org/obo/GO_0006078	(1->6)-beta-D-glucan biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_27380	(1->6)-beta-D-glucan
