defined_class	defined_class_label	organelle	organelle_label
http://purl.obolibrary.org/obo/GO_0030663	COPI-coated vesicle membrane	http://purl.obolibrary.org/obo/GO_0030137	COPI-coated vesicle
http://purl.obolibrary.org/obo/GO_0012507	ER to Golgi transport vesicle membrane	http://purl.obolibrary.org/obo/GO_0030134	COPII-coated ER to Golgi transport vesicle
http://purl.obolibrary.org/obo/GO_0000139	Golgi membrane	http://purl.obolibrary.org/obo/GO_0005794	Golgi apparatus
http://purl.obolibrary.org/obo/GO_0012508	Golgi to ER transport vesicle membrane	http://purl.obolibrary.org/obo/GO_0030142	COPI-coated Golgi to ER transport vesicle
http://purl.obolibrary.org/obo/GO_0030660	Golgi-associated vesicle membrane	http://purl.obolibrary.org/obo/GO_0005798	Golgi-associated vesicle
http://purl.obolibrary.org/obo/GO_0033102	acidocalcisome membrane	http://purl.obolibrary.org/obo/GO_0020022	acidocalcisome
http://purl.obolibrary.org/obo/GO_0002080	acrosomal membrane	http://purl.obolibrary.org/obo/GO_0001669	acrosomal vesicle
http://purl.obolibrary.org/obo/GO_0032578	aleurone grain membrane	http://purl.obolibrary.org/obo/GO_0033095	aleurone grain
http://purl.obolibrary.org/obo/GO_0097233	alveolar lamellar body membrane	http://purl.obolibrary.org/obo/GO_0097208	alveolar lamellar body
http://purl.obolibrary.org/obo/GO_1904930	amphisome membrane	http://purl.obolibrary.org/obo/GO_0044753	amphisome
http://purl.obolibrary.org/obo/GO_0033111	attachment organelle membrane	http://purl.obolibrary.org/obo/GO_0033099	attachment organelle
http://purl.obolibrary.org/obo/GO_0120281	autolysosome membrane	http://purl.obolibrary.org/obo/GO_0044754	autolysosome
http://purl.obolibrary.org/obo/GO_0000421	autophagosome membrane	http://purl.obolibrary.org/obo/GO_0005776	autophagosome
http://purl.obolibrary.org/obo/GO_0035577	azurophil granule membrane	http://purl.obolibrary.org/obo/GO_0042582	azurophil granule
http://purl.obolibrary.org/obo/GO_0030661	chitosome membrane	http://purl.obolibrary.org/obo/GO_0045009	chitosome
http://purl.obolibrary.org/obo/GO_0009707	chloroplast outer membrane	http://purl.obolibrary.org/obo/GO_0009507	chloroplast
http://purl.obolibrary.org/obo/GO_0042584	chromaffin granule membrane	http://purl.obolibrary.org/obo/GO_0042583	chromaffin granule
