defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_0019383	(+)-camphor catabolic process	http://purl.obolibrary.org/obo/CHEBI_15396	(R)-camphor
http://purl.obolibrary.org/obo/GO_1901942	(+)-epi-alpha-bisabolol catabolic process	http://purl.obolibrary.org/obo/CHEBI_68658	(+)-epi-alpha-bisabolol
http://purl.obolibrary.org/obo/GO_1900595	(+)-kotanin catabolic process	http://purl.obolibrary.org/obo/CHEBI_64454	(+)-kotanin
http://purl.obolibrary.org/obo/GO_1902131	(+)-lariciresinol catabolic process	http://purl.obolibrary.org/obo/CHEBI_67246	(+)-lariciresinol
http://purl.obolibrary.org/obo/GO_1902125	(+)-pinoresinol catabolic process	http://purl.obolibrary.org/obo/CHEBI_40	(+)-pinoresinol
http://purl.obolibrary.org/obo/GO_1902134	(+)-secoisolariciresinol catabolic process	http://purl.obolibrary.org/obo/CHEBI_67247	(+)-secoisolariciresinol
http://purl.obolibrary.org/obo/GO_1901939	(-)-exo-alpha-bergamotene catabolic process	http://purl.obolibrary.org/obo/CHEBI_62756	(-)-exo-alpha-bergamotene
http://purl.obolibrary.org/obo/GO_1902128	(-)-lariciresinol catabolic process	http://purl.obolibrary.org/obo/CHEBI_67244	(-)-lariciresinol
http://purl.obolibrary.org/obo/GO_1901511	(-)-microperfuranone catabolic process	http://purl.obolibrary.org/obo/CHEBI_64974	(-)-microperfuranone
http://purl.obolibrary.org/obo/GO_1902123	(-)-pinoresinol catabolic process	http://purl.obolibrary.org/obo/CHEBI_67245	(-)-pinoresinol
http://purl.obolibrary.org/obo/GO_1902137	(-)-secoisolariciresinol catabolic process	http://purl.obolibrary.org/obo/CHEBI_65004	(-)-secoisolariciresinol
http://purl.obolibrary.org/obo/GO_1900993	(-)-secologanin catabolic process	http://purl.obolibrary.org/obo/CHEBI_18002	(-)-secologanin
http://purl.obolibrary.org/obo/GO_0006076	(1->3)-beta-D-glucan catabolic process	http://purl.obolibrary.org/obo/CHEBI_37671	(1->3)-beta-D-glucan
http://purl.obolibrary.org/obo/GO_0006079	(1->6)-beta-D-glucan catabolic process	http://purl.obolibrary.org/obo/CHEBI_27380	(1->6)-beta-D-glucan
http://purl.obolibrary.org/obo/GO_1900580	(17Z)-protosta-17(20),24-dien-3beta-ol catabolic process	http://purl.obolibrary.org/obo/CHEBI_62457	(17Z)-protosta-17(20),24-dien-3beta-ol
http://purl.obolibrary.org/obo/GO_0019599	(R)-4-hydroxymandelate catabolic process	http://purl.obolibrary.org/obo/CHEBI_27996	(R)-4-hydroxymandelate
http://purl.obolibrary.org/obo/GO_1901736	(R)-mevalonic acid catabolic process	http://purl.obolibrary.org/obo/CHEBI_36464	(R)-mevalonate
http://purl.obolibrary.org/obo/GO_0042188	1,1,1-trichloro-2,2-bis-(4-chlorophenyl)ethane catabolic process	http://purl.obolibrary.org/obo/CHEBI_16130	DDT
http://purl.obolibrary.org/obo/GO_0019260	1,2-dichloroethane catabolic process	http://purl.obolibrary.org/obo/CHEBI_27789	1,2-dichloroethane
