defined_class	defined_class_label	target	target_label
http://purl.obolibrary.org/obo/GO_0034463	90S preribosome assembly	http://purl.obolibrary.org/obo/GO_0030686	90S preribosome
http://purl.obolibrary.org/obo/GO_1904745	Atg1/ULK1 kinase complex assembly	http://purl.obolibrary.org/obo/GO_1990316	Atg1/ULK1 kinase complex
http://purl.obolibrary.org/obo/GO_0010387	COP9 signalosome assembly	http://purl.obolibrary.org/obo/GO_0008180	COP9 signalosome
http://purl.obolibrary.org/obo/GO_0048208	COPII vesicle coating	http://purl.obolibrary.org/obo/GO_0030127	COPII vesicle coat
http://purl.obolibrary.org/obo/GO_0071255	Cvt vesicle assembly	http://purl.obolibrary.org/obo/GO_0033107	Cvt vesicle
http://purl.obolibrary.org/obo/GO_0071770	DIM/DIP cell wall layer assembly	http://purl.obolibrary.org/obo/GO_0097735	DIM/DIP cell wall layer
http://purl.obolibrary.org/obo/GO_0000730	DNA recombinase assembly	http://purl.obolibrary.org/obo/GO_0097519	DNA recombinase complex
http://purl.obolibrary.org/obo/GO_1903871	DNA recombinase mediator complex assembly	http://purl.obolibrary.org/obo/GO_0033061	DNA recombinase mediator complex
http://purl.obolibrary.org/obo/GO_0090735	DNA repair complex assembly	http://purl.obolibrary.org/obo/GO_1990391	DNA repair complex
http://purl.obolibrary.org/obo/GO_0071163	DNA replication preinitiation complex assembly	http://purl.obolibrary.org/obo/GO_0031261	DNA replication preinitiation complex
http://purl.obolibrary.org/obo/GO_1990155	Dsc E3 ubiquitin ligase complex assembly	http://purl.obolibrary.org/obo/GO_0044695	Dsc E3 ubiquitin ligase complex
http://purl.obolibrary.org/obo/GO_1904902	ESCRT III complex assembly	http://purl.obolibrary.org/obo/GO_0000815	ESCRT III complex
http://purl.obolibrary.org/obo/GO_1904895	ESCRT complex assembly	http://purl.obolibrary.org/obo/GO_0036452	ESCRT complex
http://purl.obolibrary.org/obo/GO_1905635	FACT complex assembly	http://purl.obolibrary.org/obo/GO_0035101	FACT complex
http://purl.obolibrary.org/obo/GO_0071165	GINS complex assembly	http://purl.obolibrary.org/obo/GO_0000811	GINS complex
http://purl.obolibrary.org/obo/GO_0140121	Lewy body formation	http://purl.obolibrary.org/obo/GO_0097413	Lewy body
http://purl.obolibrary.org/obo/GO_0120185	MBF transcription complex assembly	http://purl.obolibrary.org/obo/GO_0030907	MBF transcription complex
http://purl.obolibrary.org/obo/GO_0072689	MCM complex assembly	http://purl.obolibrary.org/obo/GO_0042555	MCM complex
http://purl.obolibrary.org/obo/GO_0002397	MHC class I protein complex assembly	http://purl.obolibrary.org/obo/GO_0042612	MHC class I protein complex
http://purl.obolibrary.org/obo/GO_0002399	MHC class II protein complex assembly	http://purl.obolibrary.org/obo/GO_0042613	MHC class II protein complex
http://purl.obolibrary.org/obo/GO_0002398	MHC class Ib protein complex assembly	http://purl.obolibrary.org/obo/GO_0032398	MHC class Ib protein complex
http://purl.obolibrary.org/obo/GO_0002396	MHC protein complex assembly	http://purl.obolibrary.org/obo/GO_0042611	MHC protein complex
http://purl.obolibrary.org/obo/GO_0072685	Mre11 complex assembly	http://purl.obolibrary.org/obo/GO_0030870	Mre11 complex
http://purl.obolibrary.org/obo/GO_0010275	NAD(P)H dehydrogenase complex assembly	http://purl.obolibrary.org/obo/GO_0010598	NAD(P)H dehydrogenase complex (plastoquinone)
http://purl.obolibrary.org/obo/GO_0010258	NADH dehydrogenase complex (plastoquinone) assembly	http://purl.obolibrary.org/obo/GO_0071685	NADH dehydrogenase complex (plastoquinone)
http://purl.obolibrary.org/obo/GO_0010257	NADH dehydrogenase complex assembly	http://purl.obolibrary.org/obo/GO_0030964	NADH dehydrogenase complex
http://purl.obolibrary.org/obo/GO_0007287	Nebenkern assembly	http://purl.obolibrary.org/obo/GO_0016006	Nebenkern
http://purl.obolibrary.org/obo/GO_1903863	P granule assembly	http://purl.obolibrary.org/obo/GO_0043186	P granule
http://purl.obolibrary.org/obo/GO_0033962	P-body assembly	http://purl.obolibrary.org/obo/GO_0000932	P-body
http://purl.obolibrary.org/obo/GO_1904802	RITS complex assembly	http://purl.obolibrary.org/obo/GO_0030958	RITS complex
http://purl.obolibrary.org/obo/GO_1990113	RNA polymerase I assembly	http://purl.obolibrary.org/obo/GO_0005736	RNA polymerase I complex
http://purl.obolibrary.org/obo/GO_1990114	RNA polymerase II core complex assembly	http://purl.obolibrary.org/obo/GO_0005665	RNA polymerase II, core complex
http://purl.obolibrary.org/obo/GO_1990115	RNA polymerase III assembly	http://purl.obolibrary.org/obo/GO_0005666	RNA polymerase III complex
http://purl.obolibrary.org/obo/GO_0036285	SAGA complex assembly	http://purl.obolibrary.org/obo/GO_0000124	SAGA complex
http://purl.obolibrary.org/obo/GO_0010265	SCF complex assembly	http://purl.obolibrary.org/obo/GO_0019005	SCF ubiquitin ligase complex
http://purl.obolibrary.org/obo/GO_0007183	SMAD protein complex assembly	http://purl.obolibrary.org/obo/GO_0071141	SMAD protein complex
http://purl.obolibrary.org/obo/GO_0035493	SNARE complex assembly	http://purl.obolibrary.org/obo/GO_0031201	SNARE complex
http://purl.obolibrary.org/obo/GO_0036399	TCR signalosome assembly	http://purl.obolibrary.org/obo/GO_0036398	TCR signalosome
http://purl.obolibrary.org/obo/GO_1905669	TORC1 complex assembly	http://purl.obolibrary.org/obo/GO_0031931	TORC1 complex
http://purl.obolibrary.org/obo/GO_1903074	TRAIL death-inducing signaling complex assembly	http://purl.obolibrary.org/obo/GO_0031266	TRAIL death-inducing signaling complex
http://purl.obolibrary.org/obo/GO_1903241	U2-type prespliceosome assembly	http://purl.obolibrary.org/obo/GO_0071004	U2-type prespliceosome
http://purl.obolibrary.org/obo/GO_1904210	VCP-NPL4-UFD1 AAA ATPase complex assembly	http://purl.obolibrary.org/obo/GO_0034098	VCP-NPL4-UFD1 AAA ATPase complex
http://purl.obolibrary.org/obo/GO_1904887	Wnt signalosome assembly	http://purl.obolibrary.org/obo/GO_1990909	Wnt signalosome
http://purl.obolibrary.org/obo/GO_1904701	Wnt-Frizzled-LRP5/6 complex assembly	http://purl.obolibrary.org/obo/GO_1990851	Wnt-Frizzled-LRP5/6 complex
http://purl.obolibrary.org/obo/GO_1905350	Y-shaped link assembly	http://purl.obolibrary.org/obo/GO_0097537	Y-shaped link
http://purl.obolibrary.org/obo/GO_0001675	acrosome assembly	http://purl.obolibrary.org/obo/GO_0001669	acrosomal vesicle
http://purl.obolibrary.org/obo/GO_0000147	actin cortical patch assembly	http://purl.obolibrary.org/obo/GO_0030479	actin cortical patch
http://purl.obolibrary.org/obo/GO_0051017	actin filament bundle assembly	http://purl.obolibrary.org/obo/GO_0032432	actin filament bundle
http://purl.obolibrary.org/obo/GO_1904600	actin fusion focus assembly	http://purl.obolibrary.org/obo/GO_1990819	actin fusion focus
http://purl.obolibrary.org/obo/GO_0031247	actin rod assembly	http://purl.obolibrary.org/obo/GO_0031002	actin rod
http://purl.obolibrary.org/obo/GO_0000915	actomyosin contractile ring assembly	http://purl.obolibrary.org/obo/GO_0005826	actomyosin contractile ring
http://purl.obolibrary.org/obo/GO_0034333	adherens junction assembly	http://purl.obolibrary.org/obo/GO_0005912	adherens junction
http://purl.obolibrary.org/obo/GO_0070842	aggresome assembly	http://purl.obolibrary.org/obo/GO_0016235	aggresome
http://purl.obolibrary.org/obo/GO_1904824	anaphase-promoting complex assembly	http://purl.obolibrary.org/obo/GO_0005680	anaphase-promoting complex
http://purl.obolibrary.org/obo/GO_0043297	apical junction assembly	http://purl.obolibrary.org/obo/GO_0043296	apical junction complex
