defined_class	defined_class_label	target	target_label
http://purl.obolibrary.org/obo/GO_1990986	DNA recombinase disassembly	http://purl.obolibrary.org/obo/GO_0097519	DNA recombinase complex
http://purl.obolibrary.org/obo/GO_1904903	ESCRT III complex disassembly	http://purl.obolibrary.org/obo/GO_0000815	ESCRT III complex
http://purl.obolibrary.org/obo/GO_1904896	ESCRT complex disassembly	http://purl.obolibrary.org/obo/GO_0036452	ESCRT complex
http://purl.obolibrary.org/obo/GO_0090166	Golgi disassembly	http://purl.obolibrary.org/obo/GO_0005794	Golgi apparatus
http://purl.obolibrary.org/obo/GO_1903864	P granule disassembly	http://purl.obolibrary.org/obo/GO_0043186	P granule
http://purl.obolibrary.org/obo/GO_1990171	SCF complex disassembly in response to cadmium stress	http://purl.obolibrary.org/obo/GO_0019005	SCF ubiquitin ligase complex
http://purl.obolibrary.org/obo/GO_0035494	SNARE complex disassembly	http://purl.obolibrary.org/obo/GO_0031201	SNARE complex
http://purl.obolibrary.org/obo/GO_1905670	TORC2 complex disassembly	http://purl.obolibrary.org/obo/GO_0031932	TORC2 complex
http://purl.obolibrary.org/obo/GO_1902621	actomyosin contractile ring disassembly	http://purl.obolibrary.org/obo/GO_0005826	actomyosin contractile ring
http://purl.obolibrary.org/obo/GO_0120179	adherens junction disassembly	http://purl.obolibrary.org/obo/GO_0005912	adherens junction
http://purl.obolibrary.org/obo/GO_0030399	autophagosome membrane disassembly	http://purl.obolibrary.org/obo/GO_0000421	autophagosome membrane
http://purl.obolibrary.org/obo/GO_0034769	basement membrane disassembly	http://purl.obolibrary.org/obo/GO_0005604	basement membrane
http://purl.obolibrary.org/obo/GO_1904886	beta-catenin destruction complex disassembly	http://purl.obolibrary.org/obo/GO_0030877	beta-catenin destruction complex
http://purl.obolibrary.org/obo/GO_0150146	cell junction disassembly	http://purl.obolibrary.org/obo/GO_0030054	cell junction
http://purl.obolibrary.org/obo/GO_0044277	cell wall disassembly	http://purl.obolibrary.org/obo/GO_0005618	cell wall
http://purl.obolibrary.org/obo/GO_0150147	cell-cell junction disassembly	http://purl.obolibrary.org/obo/GO_0005911	cell-cell junction
http://purl.obolibrary.org/obo/GO_0120180	cell-substrate junction disassembly	http://purl.obolibrary.org/obo/GO_0030055	cell-substrate junction
http://purl.obolibrary.org/obo/GO_1904764	chaperone-mediated autophagy translocation complex disassembly	http://purl.obolibrary.org/obo/GO_0061742	chaperone-mediated autophagy translocation complex
http://purl.obolibrary.org/obo/GO_1904821	chloroplast disassembly	http://purl.obolibrary.org/obo/GO_0009507	chloroplast
http://purl.obolibrary.org/obo/GO_0061523	cilium disassembly	http://purl.obolibrary.org/obo/GO_0005929	cilium
http://purl.obolibrary.org/obo/GO_0072318	clathrin coat disassembly	http://purl.obolibrary.org/obo/GO_0030118	clathrin coat
http://purl.obolibrary.org/obo/GO_0035921	desmosome disassembly	http://purl.obolibrary.org/obo/GO_0030057	desmosome
http://purl.obolibrary.org/obo/GO_1905692	endoplasmic reticulum disassembly	http://purl.obolibrary.org/obo/GO_0005783	endoplasmic reticulum
http://purl.obolibrary.org/obo/GO_0031025	equatorial microtubule organizing center disassembly	http://purl.obolibrary.org/obo/GO_0000923	equatorial microtubule organizing center
http://purl.obolibrary.org/obo/GO_1905805	excitatory synapse pruning	http://purl.obolibrary.org/obo/GO_0060076	excitatory synapse
http://purl.obolibrary.org/obo/GO_1903259	exon-exon junction complex disassembly	http://purl.obolibrary.org/obo/GO_0035145	exon-exon junction complex
http://purl.obolibrary.org/obo/GO_0022617	extracellular matrix disassembly	http://purl.obolibrary.org/obo/GO_0031012	extracellular matrix
http://purl.obolibrary.org/obo/GO_0120181	focal adhesion disassembly	http://purl.obolibrary.org/obo/GO_0005925	focal adhesion
http://purl.obolibrary.org/obo/GO_0071853	fungal-type cell wall disassembly	http://purl.obolibrary.org/obo/GO_0009277	fungal-type cell wall
http://purl.obolibrary.org/obo/GO_1905691	lipid droplet disassembly	http://purl.obolibrary.org/obo/GO_0005811	lipid droplet
http://purl.obolibrary.org/obo/GO_0090495	low-density lipoprotein particle disassembly	http://purl.obolibrary.org/obo/GO_0034362	low-density lipoprotein particle
http://purl.obolibrary.org/obo/GO_1905199	manchette disassembly	http://purl.obolibrary.org/obo/GO_0002177	manchette
http://purl.obolibrary.org/obo/GO_0030397	membrane disassembly	http://purl.obolibrary.org/obo/GO_0016020	membrane
http://purl.obolibrary.org/obo/GO_0007019	microtubule depolymerization	http://purl.obolibrary.org/obo/GO_0005874	microtubule
http://purl.obolibrary.org/obo/GO_1990755	mitotic spindle microtubule depolymerization	http://purl.obolibrary.org/obo/GO_1990498	mitotic spindle microtubule
http://purl.obolibrary.org/obo/GO_0034496	multivesicular body membrane disassembly	http://purl.obolibrary.org/obo/GO_0032585	multivesicular body membrane
http://purl.obolibrary.org/obo/GO_0031037	myosin II filament disassembly	http://purl.obolibrary.org/obo/GO_0097513	myosin II filament
http://purl.obolibrary.org/obo/GO_0031035	myosin filament disassembly	http://purl.obolibrary.org/obo/GO_0032982	myosin filament
http://purl.obolibrary.org/obo/GO_0051081	nuclear membrane disassembly	http://purl.obolibrary.org/obo/GO_0031965	nuclear membrane
http://purl.obolibrary.org/obo/GO_0006337	nucleosome disassembly	http://purl.obolibrary.org/obo/GO_0000786	nucleosome
http://purl.obolibrary.org/obo/GO_1905690	nucleus disassembly	http://purl.obolibrary.org/obo/GO_0005634	nucleus
http://purl.obolibrary.org/obo/GO_1903008	organelle disassembly	http://purl.obolibrary.org/obo/GO_0043226	organelle
http://purl.obolibrary.org/obo/GO_0071829	plasma lipoprotein particle disassembly	http://purl.obolibrary.org/obo/GO_0034358	plasma lipoprotein particle
http://purl.obolibrary.org/obo/GO_1904072	presynaptic active zone disassembly	http://purl.obolibrary.org/obo/GO_0048786	presynaptic active zone
http://purl.obolibrary.org/obo/GO_0030994	primary cell septum disassembly	http://purl.obolibrary.org/obo/GO_0000936	primary cell septum
http://purl.obolibrary.org/obo/GO_1903009	proteasome complex disassembly	http://purl.obolibrary.org/obo/GO_0000502	proteasome complex
http://purl.obolibrary.org/obo/GO_1902907	proteasome storage granule disassembly	http://purl.obolibrary.org/obo/GO_0034515	proteasome storage granule
http://purl.obolibrary.org/obo/GO_0032986	protein-DNA complex disassembly	http://purl.obolibrary.org/obo/GO_0032993	protein-DNA complex
http://purl.obolibrary.org/obo/GO_0001117	protein-DNA-RNA complex disassembly	http://purl.obolibrary.org/obo/GO_0001114	protein-DNA-RNA complex
http://purl.obolibrary.org/obo/GO_0032988	protein-RNA complex disassembly	http://purl.obolibrary.org/obo/GO_1990904	ribonucleoprotein complex
http://purl.obolibrary.org/obo/GO_0032985	protein-carbohydrate complex disassembly	http://purl.obolibrary.org/obo/GO_0032992	protein-carbohydrate complex
http://purl.obolibrary.org/obo/GO_0032984	protein-containing complex disassembly	http://purl.obolibrary.org/obo/GO_0032991	protein-containing complex
http://purl.obolibrary.org/obo/GO_0032987	protein-lipid complex disassembly	http://purl.obolibrary.org/obo/GO_0032994	protein-lipid complex
http://purl.obolibrary.org/obo/GO_0031270	pseudopodium retraction	http://purl.obolibrary.org/obo/GO_0031143	pseudopodium
http://purl.obolibrary.org/obo/GO_0032790	ribosome disassembly	http://purl.obolibrary.org/obo/GO_0005840	ribosome
http://purl.obolibrary.org/obo/GO_0031107	septin ring disassembly	http://purl.obolibrary.org/obo/GO_0005940	septin ring
http://purl.obolibrary.org/obo/GO_0035045	sperm plasma membrane disassembly	http://purl.obolibrary.org/obo/GO_0097524	sperm plasma membrane
http://purl.obolibrary.org/obo/GO_0051230	spindle disassembly	http://purl.obolibrary.org/obo/GO_0005819	spindle
http://purl.obolibrary.org/obo/GO_0000390	spliceosomal complex disassembly	http://purl.obolibrary.org/obo/GO_0005681	spliceosomal complex
http://purl.obolibrary.org/obo/GO_0035617	stress granule disassembly	http://purl.obolibrary.org/obo/GO_0010494	cytoplasmic stress granule
http://purl.obolibrary.org/obo/GO_0098883	synapse pruning	http://purl.obolibrary.org/obo/GO_0045202	synapse
http://purl.obolibrary.org/obo/GO_0070194	synaptonemal complex disassembly	http://purl.obolibrary.org/obo/GO_0000795	synaptonemal complex
http://purl.obolibrary.org/obo/GO_0010547	thylakoid membrane disassembly	http://purl.obolibrary.org/obo/GO_0042651	thylakoid membrane
http://purl.obolibrary.org/obo/GO_1905071	tight junction disassembly	http://purl.obolibrary.org/obo/GO_0070160	tight junction
