iri	iri label	cellular_component	cellular_component label	cellular_process	cellular_process label
GO:0080119	ER body organization	GO:0010168	ER body	GO:0016043	cellular component organization
GO:0007030	Golgi organization	GO:0005794	Golgi apparatus	GO:0016043	cellular component organization
GO:0030719	P granule organization	GO:0043186	P granule	GO:0016043	cellular component organization
GO:0045232	S-layer organization	GO:0030115	S-layer	GO:0016043	cellular component organization
GO:0033292	T-tubule organization	GO:0030315	T-tubule	GO:0016043	cellular component organization
GO:0044396	actin cortical patch organization	GO:0030479	actin cortical patch	GO:0016043	cellular component organization
GO:0030036	actin cytoskeleton organization	GO:0015629	actin cytoskeleton	GO:0016043	cellular component organization
GO:0061572	actin filament bundle organization	GO:0032432	actin filament bundle	GO:0016043	cellular component organization
GO:0007015	actin filament organization	GO:0005884	actin filament	GO:0016043	cellular component organization
GO:0044837	actomyosin contractile ring organization	GO:0005826	actomyosin contractile ring	GO:0016043	cellular component organization
GO:0031032	actomyosin structure organization	GO:0042641	actomyosin	GO:0016043	cellular component organization
GO:0034332	adherens junction organization	GO:0005912	adherens junction	GO:0016043	cellular component organization
GO:0009660	amyloplast organization	GO:0009501	amyloplast	GO:0016043	cellular component organization
GO:0030953	astral microtubule organization	GO:0000235	astral microtubule	GO:0016043	cellular component organization
GO:1905037	autophagosome organization	GO:0005776	autophagosome	GO:0016043	cellular component organization
GO:0044781	bacterial-type flagellum organization	GO:0009288	bacterial-type flagellum	GO:0016043	cellular component organization
GO:0071711	basement membrane organization	GO:0005604	basement membrane	GO:0016043	cellular component organization
GO:0098784	biofilm matrix organization	GO:0097312	biofilm matrix component	GO:0016043	cellular component organization
GO:0045230	capsule organization	GO:0042603	capsule	GO:0016043	cellular component organization
GO:0043163	cell envelope organization	GO:0030313	cell envelope	GO:0016043	cellular component organization
GO:0034330	cell junction organization	GO:0030054	cell junction	GO:0016043	cellular component organization
GO:0030030	cell projection organization	GO:0042995	cell projection	GO:0016043	cellular component organization
GO:0071555	cell wall organization	GO:0005618	cell wall	GO:0016043	cellular component organization
GO:0045216	cell-cell junction organization	GO:0005911	cell-cell junction	GO:0016043	cellular component organization
GO:0032186	cellular bud neck septin ring organization	GO:0000144	cellular bud neck septin ring	GO:0016043	cellular component organization
GO:0016043	cellular component organization	GO:0005575	cellular_component	GO:0009987	cellular process
GO:0007098	centrosome cycle	GO:0005813	centrosome	GO:0016043	cellular component organization
GO:0009658	chloroplast organization	GO:0009507	chloroplast	GO:0016043	cellular component organization
GO:0006325	chromatin organization	GO:0000785	chromatin	GO:0009987	cellular process
GO:0009661	chromoplast organization	GO:0009509	chromoplast	GO:0016043	cellular component organization
GO:0051276	chromosome organization	GO:0005694	chromosome	GO:0016043	cellular component organization
GO:0032053	ciliary basal body organization	GO:0036064	ciliary basal body	GO:0016043	cellular component organization
GO:0044782	cilium organization	GO:0005929	cilium	GO:0016043	cellular component organization
GO:0030199	collagen fibril organization	GO:0098643	banded collagen fibril	GO:0016043	cellular component organization
GO:0033298	contractile vacuole organization	GO:0000331	contractile vacuole	GO:0016043	cellular component organization
GO:0030865	cortical cytoskeleton organization	GO:0030863	cortical cytoskeleton	GO:0016043	cellular component organization
GO:0043622	cortical microtubule organization	GO:0055028	cortical microtubule	GO:0016043	cellular component organization
GO:0007028	cytoplasm organization	GO:0005737	cytoplasm	GO:0016043	cellular component organization
GO:0031122	cytoplasmic microtubule organization	GO:0005881	cytoplasmic microtubule	GO:0016043	cellular component organization
GO:0007010	cytoskeleton organization	GO:0005856	cytoskeleton	GO:0016043	cellular component organization
GO:0097061	dendritic spine organization	GO:0043197	dendritic spine	GO:0016043	cellular component organization
GO:0061109	dense core granule organization	GO:0031045	dense core granule	GO:0016043	cellular component organization
GO:0002934	desmosome organization	GO:0030057	desmosome	GO:0016043	cellular component organization
GO:0043579	elaioplast organization	GO:0009545	elaioplast	GO:0016043	cellular component organization
GO:0010256	endomembrane system organization	GO:0012505	endomembrane system	GO:0016043	cellular component organization
GO:0071783	endoplasmic reticulum cisternal network organization	GO:0071781	endoplasmic reticulum cisternal network	GO:0016043	cellular component organization
GO:0007029	endoplasmic reticulum organization	GO:0005783	endoplasmic reticulum	GO:0016043	cellular component organization
GO:1990809	endoplasmic reticulum tubular network membrane organization	GO:0098826	endoplasmic reticulum tubular network membrane	GO:0016043	cellular component organization
GO:0071786	endoplasmic reticulum tubular network organization	GO:0071782	endoplasmic reticulum tubular network	GO:0016043	cellular component organization
GO:0097111	endoplasmic reticulum-Golgi intermediate compartment organization	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	GO:0016043	cellular component organization
GO:0007032	endosome organization	GO:0005768	endosome	GO:0016043	cellular component organization
GO:0009662	etioplast organization	GO:0009513	etioplast	GO:0016043	cellular component organization
GO:0045229	external encapsulating structure organization	GO:0030312	external encapsulating structure	GO:0016043	cellular component organization
GO:0030198	extracellular matrix organization	GO:0044420	extracellular matrix component	GO:0016043	cellular component organization
GO:1905590	fibronectin fibril organization	GO:0061800	fibronectin fibril	GO:0009987	cellular process
GO:0110009	formin-nucleated actin cable organization	GO:0070648	formin-nucleated actin cable	GO:0016043	cellular component organization
GO:0031505	fungal-type cell wall organization	GO:0009277	fungal-type cell wall	GO:0016043	cellular component organization
GO:0045478	fusome organization	GO:0045169	fusome	GO:0016043	cellular component organization
GO:0010111	glyoxysome organization	GO:0009514	glyoxysome	GO:0016043	cellular component organization
GO:0070828	heterochromatin organization	GO:0000792	heterochromatin	GO:0009987	cellular process
GO:0032118	horsetail-astral microtubule organization	GO:0032117	horsetail-astral microtubule array	GO:0016043	cellular component organization
GO:0007007	inner mitochondrial membrane organization	GO:0005743	mitochondrial inner membrane	GO:0016043	cellular component organization
