defined_class	defined_class_label	cell_type	cell_type_label
http://purl.obolibrary.org/obo/GO_0030183	B cell differentiation	http://purl.obolibrary.org/obo/CL_0000236	B cell
http://purl.obolibrary.org/obo/GO_0001923	B-1 B cell differentiation	http://purl.obolibrary.org/obo/CL_0000819	B-1 B cell
http://purl.obolibrary.org/obo/GO_0002337	B-1a B cell differentiation	http://purl.obolibrary.org/obo/CL_0000820	B-1a B cell
http://purl.obolibrary.org/obo/GO_0002338	B-1b B cell differentiation	http://purl.obolibrary.org/obo/CL_0000821	B-1b B cell
http://purl.obolibrary.org/obo/GO_0060020	Bergmann glial cell differentiation	http://purl.obolibrary.org/obo/CL_0000644	Bergmann glial cell
http://purl.obolibrary.org/obo/GO_0002306	CD4-positive gamma-delta intraepithelial T cell differentiation	http://purl.obolibrary.org/obo/CL_0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell
http://purl.obolibrary.org/obo/GO_0002361	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	http://purl.obolibrary.org/obo/CL_0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell
http://purl.obolibrary.org/obo/GO_0043367	CD4-positive, alpha-beta T cell differentiation	http://purl.obolibrary.org/obo/CL_0000624	CD4-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/GO_0002301	CD4-positive, alpha-beta intraepithelial T cell differentiation	http://purl.obolibrary.org/obo/CL_0000793	CD4-positive, alpha-beta intraepithelial T cell
http://purl.obolibrary.org/obo/GO_0043374	CD8-positive, alpha-beta T cell differentiation	http://purl.obolibrary.org/obo/CL_0000625	CD8-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/GO_0002308	CD8-positive, alpha-beta cytotoxic T cell differentiation	http://purl.obolibrary.org/obo/CL_0000794	CD8-positive, alpha-beta cytotoxic T cell
http://purl.obolibrary.org/obo/GO_0002300	CD8-positive, alpha-beta intraepithelial T cell differentiation	http://purl.obolibrary.org/obo/CL_0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell
http://purl.obolibrary.org/obo/GO_0002307	CD8-positive, alpha-beta regulatory T cell differentiation	http://purl.obolibrary.org/obo/CL_0000795	CD8-positive, alpha-beta regulatory T cell
http://purl.obolibrary.org/obo/GO_0002305	CD8-positive, gamma-delta intraepithelial T cell differentiation	http://purl.obolibrary.org/obo/CL_0000802	CD8-alpha alpha positive, gamma-delta intraepithelial T cell
http://purl.obolibrary.org/obo/GO_0021870	Cajal-Retzius cell differentiation	http://purl.obolibrary.org/obo/CL_0000695	Cajal-Retzius cell
http://purl.obolibrary.org/obo/GO_1904155	DN2 thymocyte differentiation	http://purl.obolibrary.org/obo/CL_0000806	DN2 thymocyte
http://purl.obolibrary.org/obo/GO_1904156	DN3 thymocyte differentiation	http://purl.obolibrary.org/obo/CL_0000807	DN3 thymocyte
http://purl.obolibrary.org/obo/GO_1904157	DN4 thymocyte differentiation	http://purl.obolibrary.org/obo/CL_0000808	DN4 thymocyte
http://purl.obolibrary.org/obo/GO_0097154	GABAergic neuron differentiation	http://purl.obolibrary.org/obo/CL_0000617	GABAergic neuron
http://purl.obolibrary.org/obo/GO_0060932	His-Purkinje system cell differentiation	http://purl.obolibrary.org/obo/CL_0010007	His-Purkinje system cell
http://purl.obolibrary.org/obo/GO_0061520	Langerhans cell differentiation	http://purl.obolibrary.org/obo/CL_0000453	Langerhans cell
http://purl.obolibrary.org/obo/GO_0033327	Leydig cell differentiation	http://purl.obolibrary.org/obo/CL_0000178	Leydig cell
http://purl.obolibrary.org/obo/GO_0021708	Lugaro cell differentiation	http://purl.obolibrary.org/obo/CL_0011006	Lugaro cell
http://purl.obolibrary.org/obo/GO_0061330	Malpighian tubule stellate cell differentiation	http://purl.obolibrary.org/obo/CL_1000155	Malpighian tubule stellate cell
http://purl.obolibrary.org/obo/GO_0061382	Malpighian tubule tip cell differentiation	http://purl.obolibrary.org/obo/CL_1000182	malpighian tubule tip cell
http://purl.obolibrary.org/obo/GO_1905270	Meynert cell differentiation	http://purl.obolibrary.org/obo/CL_2000056	Meynert cell
http://purl.obolibrary.org/obo/GO_0001865	NK T cell differentiation	http://purl.obolibrary.org/obo/CL_0000814	mature NK T cell
http://purl.obolibrary.org/obo/GO_0003168	Purkinje myocyte differentiation	http://purl.obolibrary.org/obo/CL_0002068	Purkinje myocyte
http://purl.obolibrary.org/obo/GO_0045466	R7 cell differentiation	http://purl.obolibrary.org/obo/CL_0000707	R7 photoreceptor cell
http://purl.obolibrary.org/obo/GO_0045465	R8 cell differentiation	http://purl.obolibrary.org/obo/CL_0000709	R8 photoreceptor cell
http://purl.obolibrary.org/obo/GO_1905275	Rohon-Beard neuron differentiation	http://purl.obolibrary.org/obo/CL_0000247	Rohon-Beard neuron
http://purl.obolibrary.org/obo/GO_0014037	Schwann cell differentiation	http://purl.obolibrary.org/obo/CL_0000218	myelinating Schwann cell
http://purl.obolibrary.org/obo/GO_0060008	Sertoli cell differentiation	http://purl.obolibrary.org/obo/CL_0000216	Sertoli cell
http://purl.obolibrary.org/obo/GO_0030217	T cell differentiation	http://purl.obolibrary.org/obo/CL_0000084	T cell
http://purl.obolibrary.org/obo/GO_0033077	T cell differentiation in thymus	http://purl.obolibrary.org/obo/CL_0000893	thymocyte
http://purl.obolibrary.org/obo/GO_0061470	T follicular helper cell differentiation	http://purl.obolibrary.org/obo/CL_0002038	T follicular helper cell
http://purl.obolibrary.org/obo/GO_0045063	T-helper 1 cell differentiation	http://purl.obolibrary.org/obo/CL_0000545	T-helper 1 cell
http://purl.obolibrary.org/obo/GO_0072539	T-helper 17 cell differentiation	http://purl.obolibrary.org/obo/CL_0000899	T-helper 17 cell
http://purl.obolibrary.org/obo/GO_0045064	T-helper 2 cell differentiation	http://purl.obolibrary.org/obo/CL_0000546	T-helper 2 cell
http://purl.obolibrary.org/obo/GO_0042093	T-helper cell differentiation	http://purl.obolibrary.org/obo/CL_0000492	CD4-positive helper T cell
http://purl.obolibrary.org/obo/GO_0090425	acinar cell differentiation	http://purl.obolibrary.org/obo/CL_0000622	acinar cell
http://purl.obolibrary.org/obo/GO_1903680	acinar cell of sebaceous gland differentiation	http://purl.obolibrary.org/obo/CL_0002140	acinar cell of sebaceous gland
http://purl.obolibrary.org/obo/GO_0061104	adrenal chromaffin cell differentiation	http://purl.obolibrary.org/obo/CL_1000426	chromaffin cell of adrenal gland
http://purl.obolibrary.org/obo/GO_0046632	alpha-beta T cell differentiation	http://purl.obolibrary.org/obo/CL_0000789	alpha-beta T cell
