defined_class	defined_class_label	chemical	chemical_label
http://purl.obolibrary.org/obo/GO_1900749	(R)-carnitine transport	http://purl.obolibrary.org/obo/CHEBI_16347	(R)-carnitine
http://purl.obolibrary.org/obo/GO_0033223	2-aminoethylphosphonate transport	http://purl.obolibrary.org/obo/CHEBI_57418	(2-aminoethyl)phosphonic acid zwitterion
http://purl.obolibrary.org/obo/GO_0046963	3'-phosphoadenosine 5'-phosphosulfate transport	http://purl.obolibrary.org/obo/CHEBI_58339	3'-phosphonato-5'-adenylyl sulfate(4-)
http://purl.obolibrary.org/obo/GO_0015731	3-hydroxyphenyl propanoate transport	http://purl.obolibrary.org/obo/CHEBI_65228	3-hydroxyphenyl propanoate
http://purl.obolibrary.org/obo/GO_0042920	3-hydroxyphenylpropionic acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_46957	3-(2-hydroxyphenyl)propanoate
http://purl.obolibrary.org/obo/GO_0042889	3-phenylpropionic acid transport	http://purl.obolibrary.org/obo/CHEBI_51057	3-phenylpropionate
http://purl.obolibrary.org/obo/GO_1900751	4-(trimethylammonio)butanoate transport	http://purl.obolibrary.org/obo/CHEBI_16244	4-(trimethylammonio)butanoate
http://purl.obolibrary.org/obo/GO_1900754	4-hydroxyphenylacetate transport	http://purl.obolibrary.org/obo/CHEBI_48999	4-hydroxyphenylacetate
http://purl.obolibrary.org/obo/GO_0015885	5-formyltetrahydrofolate transport	http://purl.obolibrary.org/obo/CHEBI_65340	5-formyltetrahydrofolate(2-)
http://purl.obolibrary.org/obo/GO_0015866	ADP transport	http://purl.obolibrary.org/obo/CHEBI_456216	ADP(3-)
http://purl.obolibrary.org/obo/GO_0080121	AMP transport	http://purl.obolibrary.org/obo/CHEBI_456215	adenosine 5'-monophosphate(2-)
http://purl.obolibrary.org/obo/GO_0015867	ATP transport	http://purl.obolibrary.org/obo/CHEBI_30616	ATP(4-)
http://purl.obolibrary.org/obo/GO_0015740	C4-dicarboxylate transport	http://purl.obolibrary.org/obo/CHEBI_61336	C4-dicarboxylate
http://purl.obolibrary.org/obo/GO_0042941	D-alanine transport	http://purl.obolibrary.org/obo/CHEBI_57416	D-alanine zwitterion
http://purl.obolibrary.org/obo/GO_0042940	D-amino acid transport	http://purl.obolibrary.org/obo/CHEBI_59871	D-alpha-amino acid zwitterion
http://purl.obolibrary.org/obo/GO_0070777	D-aspartate transport	http://purl.obolibrary.org/obo/CHEBI_29990	D-aspartate(1-)
http://purl.obolibrary.org/obo/GO_0048473	D-methionine transport	http://purl.obolibrary.org/obo/CHEBI_57932	D-methionine zwitterion
http://purl.obolibrary.org/obo/GO_0042942	D-serine transport	http://purl.obolibrary.org/obo/CHEBI_35247	D-serine zwitterion
http://purl.obolibrary.org/obo/GO_0051027	DNA transport	http://purl.obolibrary.org/obo/CHEBI_16991	deoxyribonucleic acid
http://purl.obolibrary.org/obo/GO_0015883	FAD transport	http://purl.obolibrary.org/obo/CHEBI_57692	FAD(3-)
http://purl.obolibrary.org/obo/GO_0015808	L-alanine transport	http://purl.obolibrary.org/obo/CHEBI_57972	L-alanine zwitterion
http://purl.obolibrary.org/obo/GO_0015807	L-amino acid transport	http://purl.obolibrary.org/obo/CHEBI_59814	L-alpha-amino acid anion
http://purl.obolibrary.org/obo/GO_0015811	L-cystine transport	http://purl.obolibrary.org/obo/CHEBI_35491	L-cystine zwitterion
http://purl.obolibrary.org/obo/GO_0051938	L-glutamate import	http://purl.obolibrary.org/obo/CHEBI_29985	L-glutamate(1-)
http://purl.obolibrary.org/obo/GO_1902022	L-lysine transport	http://purl.obolibrary.org/obo/CHEBI_32551	L-lysinium(1+)
http://purl.obolibrary.org/obo/GO_0015825	L-serine transport	http://purl.obolibrary.org/obo/CHEBI_33384	L-serine zwitterion
http://purl.obolibrary.org/obo/GO_1902815	N,N'-diacetylchitobiose import	http://purl.obolibrary.org/obo/CHEBI_28681	N,N'-diacetylchitobiose
http://purl.obolibrary.org/obo/GO_0015763	N-acetylgalactosamine transport	http://purl.obolibrary.org/obo/CHEBI_28800	N-acetylgalactosamine
http://purl.obolibrary.org/obo/GO_0015764	N-acetylglucosamine transport	http://purl.obolibrary.org/obo/CHEBI_59640	N-acetylglucosamine
http://purl.obolibrary.org/obo/GO_2001143	N-methylnicotinate transport	http://purl.obolibrary.org/obo/CHEBI_18123	N-methylnicotinate
http://purl.obolibrary.org/obo/GO_0043132	NAD transport	http://purl.obolibrary.org/obo/CHEBI_13389	NAD
http://purl.obolibrary.org/obo/GO_0050658	RNA transport	http://purl.obolibrary.org/obo/CHEBI_33697	ribonucleic acid
http://purl.obolibrary.org/obo/GO_0015805	S-adenosyl-L-methionine transport	http://purl.obolibrary.org/obo/CHEBI_59789	S-adenosyl-L-methionine zwitterion
http://purl.obolibrary.org/obo/GO_0015806	S-methylmethionine transport	http://purl.obolibrary.org/obo/CHEBI_58252	S-methyl-L-methionine zwitterion
http://purl.obolibrary.org/obo/GO_0080168	abscisic acid transport	http://purl.obolibrary.org/obo/CHEBI_62071	2-cis-abscisate
http://purl.obolibrary.org/obo/GO_1901374	acetate ester transport	http://purl.obolibrary.org/obo/CHEBI_47622	acetate ester
http://purl.obolibrary.org/obo/GO_0006846	acetate transport	http://purl.obolibrary.org/obo/CHEBI_30089	acetate
http://purl.obolibrary.org/obo/GO_0015876	acetyl-CoA transport	http://purl.obolibrary.org/obo/CHEBI_57288	acetyl-CoA(4-)
http://purl.obolibrary.org/obo/GO_0015870	acetylcholine transport	http://purl.obolibrary.org/obo/CHEBI_15355	acetylcholine
http://purl.obolibrary.org/obo/GO_0042935	achromobactin transport	http://purl.obolibrary.org/obo/CHEBI_61346	achromobactin
http://purl.obolibrary.org/obo/GO_0042909	acridine transport	http://purl.obolibrary.org/obo/CHEBI_36420	acridine
http://purl.obolibrary.org/obo/GO_0015894	acriflavine transport	http://purl.obolibrary.org/obo/CHEBI_383703	3,6-diamino-10-methylacridinium chloride
http://purl.obolibrary.org/obo/GO_0006844	acyl carnitine transport	http://purl.obolibrary.org/obo/CHEBI_17387	O-acylcarnitine
http://purl.obolibrary.org/obo/GO_0034196	acylglycerol transport	http://purl.obolibrary.org/obo/CHEBI_47778	glyceride
http://purl.obolibrary.org/obo/GO_0051503	adenine nucleotide transport	http://purl.obolibrary.org/obo/CHEBI_61293	adenyl nucleotide
http://purl.obolibrary.org/obo/GO_0015853	adenine transport	http://purl.obolibrary.org/obo/CHEBI_16708	adenine
http://purl.obolibrary.org/obo/GO_0032238	adenosine transport	http://purl.obolibrary.org/obo/CHEBI_16335	adenosine
http://purl.obolibrary.org/obo/GO_0019271	aerobactin transport	http://purl.obolibrary.org/obo/CHEBI_58396	aerobactinate(3-)
http://purl.obolibrary.org/obo/GO_0032328	alanine transport	http://purl.obolibrary.org/obo/CHEBI_66916	alanine zwitterion
http://purl.obolibrary.org/obo/GO_0015895	alkane transport	http://purl.obolibrary.org/obo/CHEBI_18310	alkane
http://purl.obolibrary.org/obo/GO_0042918	alkanesulfonate transport	http://purl.obolibrary.org/obo/CHEBI_134249	alkanesulfonate oxoanion
http://purl.obolibrary.org/obo/GO_0015719	allantoate transport	http://purl.obolibrary.org/obo/CHEBI_17536	allantoate
http://purl.obolibrary.org/obo/GO_0015720	allantoin transport	http://purl.obolibrary.org/obo/CHEBI_15676	allantoin
http://purl.obolibrary.org/obo/GO_0000017	alpha-glucoside transport	http://purl.obolibrary.org/obo/CHEBI_60979	alpha-glucoside
http://purl.obolibrary.org/obo/GO_0015742	alpha-ketoglutarate transport	http://purl.obolibrary.org/obo/CHEBI_16810	2-oxoglutarate(2-)
http://purl.obolibrary.org/obo/GO_0015690	aluminum cation transport	http://purl.obolibrary.org/obo/CHEBI_63062	aluminium cation
http://purl.obolibrary.org/obo/GO_0042886	amide transport	http://purl.obolibrary.org/obo/CHEBI_32988	amide
http://purl.obolibrary.org/obo/GO_0015898	amiloride transport	http://purl.obolibrary.org/obo/CHEBI_2639	amiloride
http://purl.obolibrary.org/obo/GO_0015837	amine transport	http://purl.obolibrary.org/obo/CHEBI_32952	amine
http://purl.obolibrary.org/obo/GO_0006865	amino acid transport	http://purl.obolibrary.org/obo/CHEBI_33709	amino acid
http://purl.obolibrary.org/obo/GO_0015838	amino-acid betaine transport	http://purl.obolibrary.org/obo/CHEBI_22860	amino-acid betaine
http://purl.obolibrary.org/obo/GO_0015917	aminophospholipid transport	http://purl.obolibrary.org/obo/CHEBI_60971	aminophospholipid
http://purl.obolibrary.org/obo/GO_0015899	aminotriazole transport	http://purl.obolibrary.org/obo/CHEBI_40036	amitrole
http://purl.obolibrary.org/obo/GO_0015699	antimonite transport	http://purl.obolibrary.org/obo/CHEBI_49870	antimonous acid
http://purl.obolibrary.org/obo/GO_2001092	arabinotriose transport	http://purl.obolibrary.org/obo/CHEBI_62781	alpha-L-Araf-(1->5)-alpha-L-Araf-(1->5)-L-Araf
http://purl.obolibrary.org/obo/GO_1903963	arachidonate transport	http://purl.obolibrary.org/obo/CHEBI_32395	arachidonate
