defined_class	defined_class_label	target	target_label
http://purl.obolibrary.org/obo/GO_0061332	Malpighian tubule bud morphogenesis	http://purl.obolibrary.org/obo/UBERON_0001054	Malpighian tubule
http://purl.obolibrary.org/obo/GO_0060061	Spemann organizer formation	http://purl.obolibrary.org/obo/UBERON_0003062	primitive knot
http://purl.obolibrary.org/obo/GO_0048847	adenohypophysis formation	http://purl.obolibrary.org/obo/UBERON_0002196	adenohypophysis
http://purl.obolibrary.org/obo/GO_0035802	adrenal cortex formation	http://purl.obolibrary.org/obo/UBERON_0001235	adrenal cortex
http://purl.obolibrary.org/obo/GO_0097186	amelogenesis	http://purl.obolibrary.org/obo/UBERON_0001752	enamel
http://purl.obolibrary.org/obo/GO_0007378	amnioserosa formation	http://purl.obolibrary.org/obo/UBERON_0010302	amnioserosa
http://purl.obolibrary.org/obo/GO_0001525	angiogenesis	http://purl.obolibrary.org/obo/UBERON_0001981	blood vessel
http://purl.obolibrary.org/obo/GO_0048645	animal organ formation	http://purl.obolibrary.org/obo/UBERON_0003103	compound organ
http://purl.obolibrary.org/obo/GO_0003189	aortic valve formation	http://purl.obolibrary.org/obo/UBERON_0002137	aortic valve
http://purl.obolibrary.org/obo/GO_0003190	atrioventricular valve formation	http://purl.obolibrary.org/obo/UBERON_0002133	atrioventricular valve
http://purl.obolibrary.org/obo/GO_0071730	beak formation	http://purl.obolibrary.org/obo/UBERON_0005094	beak
http://purl.obolibrary.org/obo/GO_0060346	bone trabecula formation	http://purl.obolibrary.org/obo/UBERON_0008867	trabecular network of bone
http://purl.obolibrary.org/obo/GO_0003234	bulbus arteriosus formation	http://purl.obolibrary.org/obo/UBERON_0004152	bulbus arteriosus
http://purl.obolibrary.org/obo/GO_0003210	cardiac atrium formation	http://purl.obolibrary.org/obo/UBERON_0002081	cardiac atrium
http://purl.obolibrary.org/obo/GO_0003207	cardiac chamber formation	http://purl.obolibrary.org/obo/UBERON_0004151	cardiac chamber
http://purl.obolibrary.org/obo/GO_0003216	cardiac left atrium formation	http://purl.obolibrary.org/obo/UBERON_0002079	left cardiac atrium
http://purl.obolibrary.org/obo/GO_0003218	cardiac left ventricle formation	http://purl.obolibrary.org/obo/UBERON_0002084	heart left ventricle
http://purl.obolibrary.org/obo/GO_0003217	cardiac right atrium formation	http://purl.obolibrary.org/obo/UBERON_0002078	right cardiac atrium
http://purl.obolibrary.org/obo/GO_0003219	cardiac right ventricle formation	http://purl.obolibrary.org/obo/UBERON_0002080	heart right ventricle
http://purl.obolibrary.org/obo/GO_0003211	cardiac ventricle formation	http://purl.obolibrary.org/obo/UBERON_0002082	cardiac ventricle
http://purl.obolibrary.org/obo/GO_0021556	central nervous system formation	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/GO_0021588	cerebellum formation	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum
http://purl.obolibrary.org/obo/GO_0007304	chorion-containing eggshell formation	http://purl.obolibrary.org/obo/UBERON_0005307	chorion-containing eggshell
http://purl.obolibrary.org/obo/GO_0003240	conus arteriosus formation	http://purl.obolibrary.org/obo/UBERON_0003983	conus arteriosus
http://purl.obolibrary.org/obo/GO_0003191	coronary sinus valve formation	http://purl.obolibrary.org/obo/UBERON_0004150	coronary sinus valve
http://purl.obolibrary.org/obo/GO_0061560	cranial ganglion formation	http://purl.obolibrary.org/obo/UBERON_0001714	cranial ganglion
http://purl.obolibrary.org/obo/GO_0097187	dentinogenesis	http://purl.obolibrary.org/obo/UBERON_0001751	dentine
http://purl.obolibrary.org/obo/GO_0001705	ectoderm formation	http://purl.obolibrary.org/obo/UBERON_0000924	ectoderm
http://purl.obolibrary.org/obo/GO_0030703	eggshell formation	http://purl.obolibrary.org/obo/UBERON_0005079	eggshell
http://purl.obolibrary.org/obo/GO_0003144	embryonic heart tube formation	http://purl.obolibrary.org/obo/UBERON_0004141	heart tube
http://purl.obolibrary.org/obo/GO_0003272	endocardial cushion formation	http://purl.obolibrary.org/obo/UBERON_0002062	endocardial cushion
http://purl.obolibrary.org/obo/GO_0060214	endocardium formation	http://purl.obolibrary.org/obo/UBERON_0002165	endocardium
