defined_class	defined_class_label	cargo	cargo_label	end	end_label	membrane	membrane_label	start	start_label
http://purl.obolibrary.org/obo/GO_0070779	D-aspartate import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_29994	D-aspartate(2-)	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1904273	L-alanine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_16977	L-alanine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_0097638	L-arginine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_16467	L-arginine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903811	L-asparagine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_17196	L-asparagine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_0098712	L-glutamate import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_29985	L-glutamate(1-)	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903803	L-glutamine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_18050	L-glutamine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903810	L-histidine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_15971	L-histidine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903806	L-isoleucine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_17191	L-isoleucine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903801	L-leucine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_15603	L-leucine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_0097639	L-lysine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_18019	L-lysine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1905544	L-methionine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_16643	L-methionine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_0097640	L-ornithine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_15729	L-ornithine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1904271	L-proline import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_17203	L-proline	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903807	L-threonine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_16857	L-threonine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1904272	L-tryptophan import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_16828	L-tryptophan	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1903808	L-tyrosine import across plasma membrane	http://purl.obolibrary.org/obo/CHEBI_17895	L-tyrosine	http://purl.obolibrary.org/obo/GO_0005829	cytosol	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
