defined_class	defined_class_label	membrane	membrane_label
http://purl.obolibrary.org/obo/GO_1990702	integral component of Golgi cis cisterna membrane	http://purl.obolibrary.org/obo/GO_1990674	Golgi cis cisterna membrane
http://purl.obolibrary.org/obo/GO_1990703	integral component of Golgi medial cisterna membrane	http://purl.obolibrary.org/obo/GO_1990675	Golgi medial cisterna membrane
http://purl.obolibrary.org/obo/GO_0030173	integral component of Golgi membrane	http://purl.obolibrary.org/obo/GO_0000139	Golgi membrane
http://purl.obolibrary.org/obo/GO_1990704	integral component of Golgi trans cisterna membrane	http://purl.obolibrary.org/obo/GO_1990676	Golgi trans cisterna membrane
http://purl.obolibrary.org/obo/GO_0097637	integral component of autophagosome membrane	http://purl.obolibrary.org/obo/GO_0000421	autophagosome membrane
http://purl.obolibrary.org/obo/GO_0045203	integral component of cell outer membrane	http://purl.obolibrary.org/obo/GO_0009279	cell outer membrane
http://purl.obolibrary.org/obo/GO_0031357	integral component of chloroplast inner membrane	http://purl.obolibrary.org/obo/GO_0009706	chloroplast inner membrane
http://purl.obolibrary.org/obo/GO_0031359	integral component of chloroplast outer membrane	http://purl.obolibrary.org/obo/GO_0009707	chloroplast outer membrane
http://purl.obolibrary.org/obo/GO_0031165	integral component of contractile vacuolar membrane	http://purl.obolibrary.org/obo/GO_0031164	contractile vacuolar membrane
http://purl.obolibrary.org/obo/GO_0030176	integral component of endoplasmic reticulum membrane	http://purl.obolibrary.org/obo/GO_0005789	endoplasmic reticulum membrane
http://purl.obolibrary.org/obo/GO_1990701	integral component of endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane	http://purl.obolibrary.org/obo/GO_0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
http://purl.obolibrary.org/obo/GO_0031303	integral component of endosome membrane	http://purl.obolibrary.org/obo/GO_0010008	endosome membrane
http://purl.obolibrary.org/obo/GO_0071575	integral component of external side of plasma membrane	http://purl.obolibrary.org/obo/GO_0009897	external side of plasma membrane
http://purl.obolibrary.org/obo/GO_0071627	integral component of fungal-type vacuolar membrane	http://purl.obolibrary.org/obo/GO_0000329	fungal-type vacuole membrane
http://purl.obolibrary.org/obo/GO_0071556	integral component of lumenal side of endoplasmic reticulum membrane	http://purl.obolibrary.org/obo/GO_0098553	lumenal side of endoplasmic reticulum membrane
http://purl.obolibrary.org/obo/GO_1905103	integral component of lysosomal membrane	http://purl.obolibrary.org/obo/GO_0005765	lysosomal membrane
http://purl.obolibrary.org/obo/GO_0031305	integral component of mitochondrial inner membrane	http://purl.obolibrary.org/obo/GO_0005743	mitochondrial inner membrane
http://purl.obolibrary.org/obo/GO_0032592	integral component of mitochondrial membrane	http://purl.obolibrary.org/obo/GO_0031966	mitochondrial membrane
http://purl.obolibrary.org/obo/GO_0061455	integral component of muscle cell projection membrane	http://purl.obolibrary.org/obo/GO_0036195	muscle cell projection membrane
http://purl.obolibrary.org/obo/GO_0036419	integral component of mycolate outer membrane	http://purl.obolibrary.org/obo/GO_0036407	mycolate outer membrane
http://purl.obolibrary.org/obo/GO_0099066	integral component of neuronal dense core vesicle membrane	http://purl.obolibrary.org/obo/GO_0099012	neuronal dense core vesicle membrane
http://purl.obolibrary.org/obo/GO_0005639	integral component of nuclear inner membrane	http://purl.obolibrary.org/obo/GO_0005637	nuclear inner membrane
