defined_class	defined_class_label	lipid_cargo	lipid_cargo_label
http://purl.obolibrary.org/obo/GO_0120017	ceramide transfer activity	http://purl.obolibrary.org/obo/CHEBI_17761	ceramide
http://purl.obolibrary.org/obo/GO_0140340	cerebroside transfer activity	http://purl.obolibrary.org/obo/CHEBI_23079	cerebroside
http://purl.obolibrary.org/obo/GO_0140337	diacylglyceride transfer activity	http://purl.obolibrary.org/obo/CHEBI_18035	diglyceride
http://purl.obolibrary.org/obo/GO_0017089	glycolipid transfer activity	http://purl.obolibrary.org/obo/CHEBI_33563	glycolipid
http://purl.obolibrary.org/obo/GO_0140332	lipopolysaccharide transfer activity	http://purl.obolibrary.org/obo/CHEBI_16412	lipopolysaccharide
http://purl.obolibrary.org/obo/GO_0120019	phosphatidylcholine transfer activity	http://purl.obolibrary.org/obo/CHEBI_64482	phosphatidylcholine
http://purl.obolibrary.org/obo/GO_0120014	phospholipid transfer activity	http://purl.obolibrary.org/obo/CHEBI_16247	phospholipid
http://purl.obolibrary.org/obo/GO_0120016	sphingolipid transfer activity	http://purl.obolibrary.org/obo/CHEBI_26739	sphingolipid
http://purl.obolibrary.org/obo/GO_0140338	sphingomyelin transfer activity	http://purl.obolibrary.org/obo/CHEBI_64583	sphingomyelin
http://purl.obolibrary.org/obo/GO_0120015	sterol transfer activity	http://purl.obolibrary.org/obo/CHEBI_15889	sterol
http://purl.obolibrary.org/obo/GO_0140344	triglyceride transfer activity	http://purl.obolibrary.org/obo/CHEBI_17855	triglyceride
