defined_class	defined_class_label	lipid_cargo	lipid_cargo_label
http://purl.obolibrary.org/obo/GO_0008525	phosphatidylcholine intramembrane carrier activity	http://purl.obolibrary.org/obo/CHEBI_64482	phosphatidylcholine
http://purl.obolibrary.org/obo/GO_0046624	sphingolipid intramembrane carrier activity	http://purl.obolibrary.org/obo/CHEBI_26739	sphingolipid
http://purl.obolibrary.org/obo/GO_0015161	lipid III floppase activity	http://purl.obolibrary.org/obo/CHEBI_61496	alpha-D-FucNAc4-(1->4)-beta-D-ManNAcA-(1->4)-D-GlcNAc-undecaprenyl diphosphate(3-)
http://purl.obolibrary.org/obo/GO_0015247	aminophospholipid flippase activity	http://purl.obolibrary.org/obo/CHEBI_60971	aminophospholipid
http://purl.obolibrary.org/obo/GO_0015437	lipopolysaccharide floppase activity	http://purl.obolibrary.org/obo/CHEBI_16412	lipopolysaccharide
http://purl.obolibrary.org/obo/GO_0034202	glycolipid floppase activity	http://purl.obolibrary.org/obo/CHEBI_33563	glycolipid
http://purl.obolibrary.org/obo/GO_0046623	sphingolipid floppase activity	http://purl.obolibrary.org/obo/CHEBI_26739	sphingolipid
http://purl.obolibrary.org/obo/GO_0090554	phosphatidylcholine floppase activity	http://purl.obolibrary.org/obo/CHEBI_64482	phosphatidylcholine
http://purl.obolibrary.org/obo/GO_0090555	phosphatidylethanolamine flippase activity	http://purl.obolibrary.org/obo/CHEBI_57613	phosphatidylethanolamine zwitterion
http://purl.obolibrary.org/obo/GO_0090556	phosphatidylserine floppase activity	http://purl.obolibrary.org/obo/CHEBI_57262	3-sn-phosphatidyl-L-serine(1-)
http://purl.obolibrary.org/obo/GO_0099038	ceramide floppase activity	http://purl.obolibrary.org/obo/CHEBI_17761	ceramide
http://purl.obolibrary.org/obo/GO_0140333	glycerophospholipid flippase activity	http://purl.obolibrary.org/obo/CHEBI_37739	glycerophospholipid
http://purl.obolibrary.org/obo/GO_0140341	phosphatidylethanolamine floppase activity	http://purl.obolibrary.org/obo/CHEBI_57613	phosphatidylethanolamine zwitterion
http://purl.obolibrary.org/obo/GO_0140345	phosphatidylcholine flippase activity	http://purl.obolibrary.org/obo/CHEBI_64482	phosphatidylcholine
http://purl.obolibrary.org/obo/GO_0140346	phosphatidylserine flippase activity	http://purl.obolibrary.org/obo/CHEBI_57262	3-sn-phosphatidyl-L-serine(1-)
http://purl.obolibrary.org/obo/GO_0140348	lysophosphatidylcholine flippase activity	http://purl.obolibrary.org/obo/CHEBI_60479	lysophosphatidylcholine
http://purl.obolibrary.org/obo/GO_0140351	glycosylceramide flippase activity	http://purl.obolibrary.org/obo/CHEBI_62941	glycosylceramide
http://purl.obolibrary.org/obo/GO_0180013	lysophosphatidylserine flippase activity	http://purl.obolibrary.org/obo/CHEBI_68497	lysophosphatidylserine(1-)
