defined_class	defined_class_label	membrane	membrane_label
http://purl.obolibrary.org/obo/GO_1990693	intrinsic component of Golgi cis cisterna membrane	http://purl.obolibrary.org/obo/GO_1990674	Golgi cis cisterna membrane
http://purl.obolibrary.org/obo/GO_1990694	intrinsic component of Golgi medial cisterna membrane	http://purl.obolibrary.org/obo/GO_1990675	Golgi medial cisterna membrane
http://purl.obolibrary.org/obo/GO_0031228	intrinsic component of Golgi membrane	http://purl.obolibrary.org/obo/GO_0000139	Golgi membrane
http://purl.obolibrary.org/obo/GO_1990695	intrinsic component of Golgi trans cisterna membrane	http://purl.obolibrary.org/obo/GO_1990676	Golgi trans cisterna membrane
http://purl.obolibrary.org/obo/GO_0097636	intrinsic component of autophagosome membrane	http://purl.obolibrary.org/obo/GO_0000421	autophagosome membrane
http://purl.obolibrary.org/obo/GO_0031230	intrinsic component of cell outer membrane	http://purl.obolibrary.org/obo/GO_0009279	cell outer membrane
http://purl.obolibrary.org/obo/GO_0031356	intrinsic component of chloroplast inner membrane	http://purl.obolibrary.org/obo/GO_0009706	chloroplast inner membrane
http://purl.obolibrary.org/obo/GO_0031358	intrinsic component of chloroplast outer membrane	http://purl.obolibrary.org/obo/GO_0009707	chloroplast outer membrane
http://purl.obolibrary.org/obo/GO_0031311	intrinsic component of contractile vacuolar membrane	http://purl.obolibrary.org/obo/GO_0031164	contractile vacuolar membrane
http://purl.obolibrary.org/obo/GO_0098956	intrinsic component of dense core granule membrane	http://purl.obolibrary.org/obo/GO_0032127	dense core granule membrane
http://purl.obolibrary.org/obo/GO_0031227	intrinsic component of endoplasmic reticulum membrane	http://purl.obolibrary.org/obo/GO_0005789	endoplasmic reticulum membrane
http://purl.obolibrary.org/obo/GO_1990673	intrinsic component of endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane	http://purl.obolibrary.org/obo/GO_0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
http://purl.obolibrary.org/obo/GO_0031302	intrinsic component of endosome membrane	http://purl.obolibrary.org/obo/GO_0010008	endosome membrane
http://purl.obolibrary.org/obo/GO_0031243	intrinsic component of external side of cell outer membrane	http://purl.obolibrary.org/obo/GO_0031240	external side of cell outer membrane
http://purl.obolibrary.org/obo/GO_0071628	intrinsic component of fungal-type vacuolar membrane	http://purl.obolibrary.org/obo/GO_0000329	fungal-type vacuole membrane
http://purl.obolibrary.org/obo/GO_0031304	intrinsic component of mitochondrial inner membrane	http://purl.obolibrary.org/obo/GO_0005743	mitochondrial inner membrane
http://purl.obolibrary.org/obo/GO_0098573	intrinsic component of mitochondrial membrane	http://purl.obolibrary.org/obo/GO_0031966	mitochondrial membrane
http://purl.obolibrary.org/obo/GO_0031306	intrinsic component of mitochondrial outer membrane	http://purl.obolibrary.org/obo/GO_0005741	mitochondrial outer membrane
http://purl.obolibrary.org/obo/GO_0036418	intrinsic component of mycolate outer membrane	http://purl.obolibrary.org/obo/GO_0036407	mycolate outer membrane
http://purl.obolibrary.org/obo/GO_0098675	intrinsic component of neuronal dense core vesicle membrane	http://purl.obolibrary.org/obo/GO_0099012	neuronal dense core vesicle membrane
http://purl.obolibrary.org/obo/GO_0031229	intrinsic component of nuclear inner membrane	http://purl.obolibrary.org/obo/GO_0005637	nuclear inner membrane
http://purl.obolibrary.org/obo/GO_0031308	intrinsic component of nuclear outer membrane	http://purl.obolibrary.org/obo/GO_0005640	nuclear outer membrane
http://purl.obolibrary.org/obo/GO_0097630	intrinsic component of omegasome membrane	http://purl.obolibrary.org/obo/GO_1903349	omegasome membrane
http://purl.obolibrary.org/obo/GO_0031300	intrinsic component of organelle membrane	http://purl.obolibrary.org/obo/GO_0031090	organelle membrane
http://purl.obolibrary.org/obo/GO_0031246	intrinsic component of periplasmic side of cell outer membrane	http://purl.obolibrary.org/obo/GO_0031241	periplasmic side of cell outer membrane
