defined_class	defined_class_label	process1	process1_label	process2	process2_label
http://purl.obolibrary.org/obo/GO_0002312	B cell activation involved in immune response	http://purl.obolibrary.org/obo/GO_0042113	B cell activation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_0002516	B cell deletion	http://purl.obolibrary.org/obo/GO_0001783	B cell apoptotic process	http://purl.obolibrary.org/obo/GO_0002514	B cell tolerance induction
http://purl.obolibrary.org/obo/GO_0002322	B cell proliferation involved in immune response	http://purl.obolibrary.org/obo/GO_0042100	B cell proliferation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_0003155	BMP signaling pathway involved in determination of lateral mesoderm left/right asymmetry	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0003140	determination of left/right asymmetry in lateral mesoderm
http://purl.obolibrary.org/obo/GO_0003154	BMP signaling pathway involved in determination of left/right symmetry	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0007368	determination of left/right symmetry
http://purl.obolibrary.org/obo/GO_0022024	BMP signaling pathway involved in forebrain neuron fate commitment	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0021877	forebrain neuron fate commitment
http://purl.obolibrary.org/obo/GO_0003434	BMP signaling pathway involved in growth plate cartilage chondrocyte development	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0003431	growth plate cartilage chondrocyte development
http://purl.obolibrary.org/obo/GO_0061312	BMP signaling pathway involved in heart development	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0007507	heart development
http://purl.obolibrary.org/obo/GO_0003130	BMP signaling pathway involved in heart induction	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0003129	heart induction
http://purl.obolibrary.org/obo/GO_0003303	BMP signaling pathway involved in heart jogging	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0003146	heart jogging
http://purl.obolibrary.org/obo/GO_0060803	BMP signaling pathway involved in mesodermal cell fate specification	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0007501	mesodermal cell fate specification
http://purl.obolibrary.org/obo/GO_0071893	BMP signaling pathway involved in nephric duct formation	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0072179	nephric duct formation
http://purl.obolibrary.org/obo/GO_0061151	BMP signaling pathway involved in renal system segmentation	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0061150	renal system segmentation
http://purl.obolibrary.org/obo/GO_0021919	BMP signaling pathway involved in spinal cord dorsal/ventral patterning	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0021513	spinal cord dorsal/ventral patterning
http://purl.obolibrary.org/obo/GO_0061149	BMP signaling pathway involved in ureter morphogenesis	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0072197	ureter morphogenesis
http://purl.obolibrary.org/obo/GO_0002298	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response	http://purl.obolibrary.org/obo/GO_0002361	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	http://purl.obolibrary.org/obo/GO_0043367	CD4-positive, alpha-beta T cell differentiation	http://purl.obolibrary.org/obo/GO_0006955	immune response
