defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_0018882	(+)-camphor metabolic process	http://purl.obolibrary.org/obo/CHEBI_15396	(R)-camphor
http://purl.obolibrary.org/obo/GO_1901941	(+)-epi-alpha-bisabolol metabolic process	http://purl.obolibrary.org/obo/CHEBI_68658	(+)-epi-alpha-bisabolol
http://purl.obolibrary.org/obo/GO_1900594	(+)-kotanin metabolic process	http://purl.obolibrary.org/obo/CHEBI_64454	(+)-kotanin
http://purl.obolibrary.org/obo/GO_1902130	(+)-lariciresinol metabolic process	http://purl.obolibrary.org/obo/CHEBI_67246	(+)-lariciresinol
http://purl.obolibrary.org/obo/GO_1901709	(+)-larreatricin metabolic process	http://purl.obolibrary.org/obo/CHEBI_67153	(+)-larreatricin
http://purl.obolibrary.org/obo/GO_1902124	(+)-pinoresinol metabolic process	http://purl.obolibrary.org/obo/CHEBI_40	(+)-pinoresinol
http://purl.obolibrary.org/obo/GO_1902133	(+)-secoisolariciresinol metabolic process	http://purl.obolibrary.org/obo/CHEBI_67247	(+)-secoisolariciresinol
http://purl.obolibrary.org/obo/GO_1901938	(-)-exo-alpha-bergamotene metabolic process	http://purl.obolibrary.org/obo/CHEBI_62756	(-)-exo-alpha-bergamotene
http://purl.obolibrary.org/obo/GO_1902127	(-)-lariciresinol metabolic process	http://purl.obolibrary.org/obo/CHEBI_67244	(-)-lariciresinol
http://purl.obolibrary.org/obo/GO_1901510	(-)-microperfuranone metabolic process	http://purl.obolibrary.org/obo/CHEBI_64974	(-)-microperfuranone
http://purl.obolibrary.org/obo/GO_1901598	(-)-pinoresinol metabolic process	http://purl.obolibrary.org/obo/CHEBI_67245	(-)-pinoresinol
http://purl.obolibrary.org/obo/GO_1902136	(-)-secoisolariciresinol metabolic process	http://purl.obolibrary.org/obo/CHEBI_65004	(-)-secoisolariciresinol
http://purl.obolibrary.org/obo/GO_1900992	(-)-secologanin metabolic process	http://purl.obolibrary.org/obo/CHEBI_18002	(-)-secologanin
http://purl.obolibrary.org/obo/GO_0070595	(1->3)-alpha-glucan metabolic process	http://purl.obolibrary.org/obo/CHEBI_28100	(1->3)-alpha-D-glucan
http://purl.obolibrary.org/obo/GO_0006074	(1->3)-beta-D-glucan metabolic process	http://purl.obolibrary.org/obo/CHEBI_37671	(1->3)-beta-D-glucan
http://purl.obolibrary.org/obo/GO_0070629	(1->4)-alpha-glucan metabolic process	http://purl.obolibrary.org/obo/CHEBI_15444	(1->4)-alpha-D-glucan
http://purl.obolibrary.org/obo/GO_0006077	(1->6)-beta-D-glucan metabolic process	http://purl.obolibrary.org/obo/CHEBI_27380	(1->6)-beta-D-glucan
http://purl.obolibrary.org/obo/GO_1900579	(17Z)-protosta-17(20),24-dien-3beta-ol metabolic process	http://purl.obolibrary.org/obo/CHEBI_62457	(17Z)-protosta-17(20),24-dien-3beta-ol
http://purl.obolibrary.org/obo/GO_1902057	(25S)-Delta(4)-dafachronate metabolic process	http://purl.obolibrary.org/obo/CHEBI_71541	(25S)-Delta(4)-dafachronate
http://purl.obolibrary.org/obo/GO_1902056	(25S)-Delta(7)-dafachronate metabolic process	http://purl.obolibrary.org/obo/CHEBI_71542	(25S)-Delta(7)-dafachronate
http://purl.obolibrary.org/obo/GO_0046431	(R)-4-hydroxymandelate metabolic process	http://purl.obolibrary.org/obo/CHEBI_27996	(R)-4-hydroxymandelate
http://purl.obolibrary.org/obo/GO_1901735	(R)-mevalonic acid metabolic process	http://purl.obolibrary.org/obo/CHEBI_36464	(R)-mevalonate
http://purl.obolibrary.org/obo/GO_1901010	(S)-reticuline metabolic process	http://purl.obolibrary.org/obo/CHEBI_57873	(S)-reticulinium(1+)
