defined_class	defined_class_label	characteristic	characteristic_label
http://purl.obolibrary.org/obo/GO_0007042	lysosomal lumen acidification	http://purl.obolibrary.org/obo/OBA_0000091	lysosomal lumen pH
http://purl.obolibrary.org/obo/GO_0061754	negative regulation of circulating fibrinogen levels	http://purl.obolibrary.org/obo/OBA_0000061	circulating fibrinogen levels
http://purl.obolibrary.org/obo/GO_0044720	negative regulation of imaginal disc-derived wing size	http://purl.obolibrary.org/obo/OBA_0000084	imaginal disc-derived wing size
http://purl.obolibrary.org/obo/GO_0101029	negative regulation of liquid surface tension	http://purl.obolibrary.org/obo/OBA_0000088	liquid surface tension
http://purl.obolibrary.org/obo/GO_0048171	negative regulation of long-term neuronal synaptic plasticity	http://purl.obolibrary.org/obo/OBA_0000089	long-term neuronal synaptic plasticity
http://purl.obolibrary.org/obo/GO_0061767	negative regulation of lung blood pressure	http://purl.obolibrary.org/obo/OBA_0000090	lung blood pressure
http://purl.obolibrary.org/obo/GO_0097215	negative regulation of lysosomal membrane permeability	http://purl.obolibrary.org/obo/OBA_0000092	lysosomal membrane permeability
http://purl.obolibrary.org/obo/GO_1903982	negative regulation of microvillus length	http://purl.obolibrary.org/obo/OBA_0000102	microvillus length
http://purl.obolibrary.org/obo/GO_0035795	negative regulation of mitochondrial membrane permeability	http://purl.obolibrary.org/obo/OBA_0000104	mitochondrial membrane permeability
http://purl.obolibrary.org/obo/GO_0048174	negative regulation of short-term neuronal synaptic plasticity	http://purl.obolibrary.org/obo/OBA_0000136	short-term neuronal synaptic plasticity
http://purl.obolibrary.org/obo/GO_0031917	negative regulation of synaptic metaplasticity	http://purl.obolibrary.org/obo/OBA_0000140	synaptic metaplasticity
http://purl.obolibrary.org/obo/GO_0098736	negative regulation of the force of heart contraction	http://purl.obolibrary.org/obo/OBA_0000161	force of heart contraction
http://purl.obolibrary.org/obo/GO_0035811	negative regulation of urine volume	http://purl.obolibrary.org/obo/OBA_0000173	urinary volume
http://purl.obolibrary.org/obo/GO_0031648	protein destabilization	http://purl.obolibrary.org/obo/OBA_0000128	protein stability
