defined_class	defined_class_label	target	target_label
http://purl.obolibrary.org/obo/GO_0061644	protein localization to CENP-A containing chromatin	http://purl.obolibrary.org/obo/GO_0061638	CENP-A containing chromatin
http://purl.obolibrary.org/obo/GO_1904867	protein localization to Cajal body	http://purl.obolibrary.org/obo/GO_0015030	Cajal body
http://purl.obolibrary.org/obo/GO_0034067	protein localization to Golgi apparatus	http://purl.obolibrary.org/obo/GO_0005794	Golgi apparatus
http://purl.obolibrary.org/obo/GO_1903292	protein localization to Golgi membrane	http://purl.obolibrary.org/obo/GO_0000139	Golgi membrane
http://purl.obolibrary.org/obo/GO_0036309	protein localization to M-band	http://purl.obolibrary.org/obo/GO_0031430	M band
http://purl.obolibrary.org/obo/GO_1902549	protein localization to Mei2 nuclear dot	http://purl.obolibrary.org/obo/GO_0033620	Mei2 nuclear dot complex
http://purl.obolibrary.org/obo/GO_0110012	protein localization to P-body	http://purl.obolibrary.org/obo/GO_0000932	P-body
http://purl.obolibrary.org/obo/GO_0036371	protein localization to T-tubule	http://purl.obolibrary.org/obo/GO_0030315	T-tubule
http://purl.obolibrary.org/obo/GO_0044379	protein localization to actin cortical patch	http://purl.obolibrary.org/obo/GO_0030479	actin cortical patch
http://purl.obolibrary.org/obo/GO_1903119	protein localization to actin cytoskeleton	http://purl.obolibrary.org/obo/GO_0015629	actin cytoskeleton
http://purl.obolibrary.org/obo/GO_1903120	protein localization to actin filament bundle	http://purl.obolibrary.org/obo/GO_0032432	actin filament bundle
http://purl.obolibrary.org/obo/GO_1990179	protein localization to actomyosin contractile ring	http://purl.obolibrary.org/obo/GO_0005826	actomyosin contractile ring
http://purl.obolibrary.org/obo/GO_0071896	protein localization to adherens junction	http://purl.obolibrary.org/obo/GO_0005912	adherens junction
http://purl.obolibrary.org/obo/GO_1904853	protein localization to ascospore wall	http://purl.obolibrary.org/obo/GO_0005619	ascospore wall
http://purl.obolibrary.org/obo/GO_1902888	protein localization to astral microtubule	http://purl.obolibrary.org/obo/GO_0000235	astral microtubule
http://purl.obolibrary.org/obo/GO_0099612	protein localization to axon	http://purl.obolibrary.org/obo/GO_0030424	axon
http://purl.obolibrary.org/obo/GO_0120145	protein localization to basal ectoplasmic specialization	http://purl.obolibrary.org/obo/GO_0061832	basal ectoplasmic specialization
http://purl.obolibrary.org/obo/GO_1903361	protein localization to basolateral plasma membrane	http://purl.obolibrary.org/obo/GO_0016323	basolateral plasma membrane
http://purl.obolibrary.org/obo/GO_1902396	protein localization to bicellular tight junction	http://purl.obolibrary.org/obo/GO_0005923	bicellular tight junction
http://purl.obolibrary.org/obo/GO_0097271	protein localization to bud neck	http://purl.obolibrary.org/obo/GO_0005935	cellular bud neck
http://purl.obolibrary.org/obo/GO_0072697	protein localization to cell cortex	http://purl.obolibrary.org/obo/GO_0005938	cell cortex
http://purl.obolibrary.org/obo/GO_0072741	protein localization to cell division site	http://purl.obolibrary.org/obo/GO_0032153	cell division site
http://purl.obolibrary.org/obo/GO_1902414	protein localization to cell junction	http://purl.obolibrary.org/obo/GO_0030054	cell junction
http://purl.obolibrary.org/obo/GO_1902463	protein localization to cell leading edge	http://purl.obolibrary.org/obo/GO_0031252	cell leading edge
http://purl.obolibrary.org/obo/GO_1990778	protein localization to cell periphery	http://purl.obolibrary.org/obo/GO_0071944	cell periphery
http://purl.obolibrary.org/obo/GO_0034394	protein localization to cell surface	http://purl.obolibrary.org/obo/GO_0009986	cell surface
http://purl.obolibrary.org/obo/GO_1990151	protein localization to cell tip	http://purl.obolibrary.org/obo/GO_0051286	cell tip
http://purl.obolibrary.org/obo/GO_0150105	protein localization to cell-cell junction	http://purl.obolibrary.org/obo/GO_0005911	cell-cell junction
http://purl.obolibrary.org/obo/GO_0120329	protein localization to centriolar satellite	http://purl.obolibrary.org/obo/GO_0034451	centriolar satellite
http://purl.obolibrary.org/obo/GO_0071539	protein localization to centrosome	http://purl.obolibrary.org/obo/GO_0005813	centrosome
http://purl.obolibrary.org/obo/GO_0072598	protein localization to chloroplast	http://purl.obolibrary.org/obo/GO_0009507	chloroplast
http://purl.obolibrary.org/obo/GO_1904160	protein localization to chloroplast starch grain	http://purl.obolibrary.org/obo/GO_0009569	chloroplast starch grain
http://purl.obolibrary.org/obo/GO_0071168	protein localization to chromatin	http://purl.obolibrary.org/obo/GO_0000785	chromatin
http://purl.obolibrary.org/obo/GO_0034502	protein localization to chromosome	http://purl.obolibrary.org/obo/GO_0005694	chromosome
http://purl.obolibrary.org/obo/GO_0071459	protein localization to chromosome, centromeric region	http://purl.obolibrary.org/obo/GO_0000775	chromosome, centromeric region
http://purl.obolibrary.org/obo/GO_0070198	protein localization to chromosome, telomeric region	http://purl.obolibrary.org/obo/GO_0000781	chromosome, telomeric region
http://purl.obolibrary.org/obo/GO_1904108	protein localization to ciliary inversin compartment	http://purl.obolibrary.org/obo/GO_0097543	ciliary inversin compartment
http://purl.obolibrary.org/obo/GO_1903441	protein localization to ciliary membrane	http://purl.obolibrary.org/obo/GO_0060170	ciliary membrane
http://purl.obolibrary.org/obo/GO_1904491	protein localization to ciliary transition zone	http://purl.obolibrary.org/obo/GO_0035869	ciliary transition zone
http://purl.obolibrary.org/obo/GO_0061512	protein localization to cilium	http://purl.obolibrary.org/obo/GO_0005929	cilium
http://purl.obolibrary.org/obo/GO_1905345	protein localization to cleavage furrow	http://purl.obolibrary.org/obo/GO_0032154	cleavage furrow
http://purl.obolibrary.org/obo/GO_1905346	protein localization to cleavage furrow rim	http://purl.obolibrary.org/obo/GO_0090688	cleavage furrow rim
http://purl.obolibrary.org/obo/GO_1903083	protein localization to condensed chromosome	http://purl.obolibrary.org/obo/GO_0000793	condensed chromosome
http://purl.obolibrary.org/obo/GO_1903084	protein localization to condensed nuclear chromosome	http://purl.obolibrary.org/obo/GO_0000794	condensed nuclear chromosome
http://purl.obolibrary.org/obo/GO_1903419	protein localization to cortical endoplasmic reticulum	http://purl.obolibrary.org/obo/GO_0032541	cortical endoplasmic reticulum
http://purl.obolibrary.org/obo/GO_0072699	protein localization to cortical microtubule cytoskeleton	http://purl.obolibrary.org/obo/GO_0030981	cortical microtubule cytoskeleton
http://purl.obolibrary.org/obo/GO_1905755	protein localization to cytoplasmic microtubule	http://purl.obolibrary.org/obo/GO_0005881	cytoplasmic microtubule
http://purl.obolibrary.org/obo/GO_1904518	protein localization to cytoplasmic microtubule plus-end	http://purl.obolibrary.org/obo/GO_1904511	cytoplasmic microtubule plus-end
http://purl.obolibrary.org/obo/GO_1903608	protein localization to cytoplasmic stress granule	http://purl.obolibrary.org/obo/GO_0010494	cytoplasmic stress granule
http://purl.obolibrary.org/obo/GO_0044380	protein localization to cytoskeleton	http://purl.obolibrary.org/obo/GO_0005856	cytoskeleton
http://purl.obolibrary.org/obo/GO_1904327	protein localization to cytosolic proteasome complex	http://purl.obolibrary.org/obo/GO_0031597	cytosolic proteasome complex
http://purl.obolibrary.org/obo/GO_1902432	protein localization to division septum	http://purl.obolibrary.org/obo/GO_0000935	division septum
http://purl.obolibrary.org/obo/GO_1902946	protein localization to early endosome	http://purl.obolibrary.org/obo/GO_0005769	early endosome
http://purl.obolibrary.org/obo/GO_0097446	protein localization to eisosome filament	http://purl.obolibrary.org/obo/GO_0036286	eisosome filament
http://purl.obolibrary.org/obo/GO_0070972	protein localization to endoplasmic reticulum	http://purl.obolibrary.org/obo/GO_0005783	endoplasmic reticulum
http://purl.obolibrary.org/obo/GO_0070973	protein localization to endoplasmic reticulum exit site	http://purl.obolibrary.org/obo/GO_0070971	endoplasmic reticulum exit site
http://purl.obolibrary.org/obo/GO_1903420	protein localization to endoplasmic reticulum tubular network	http://purl.obolibrary.org/obo/GO_0071782	endoplasmic reticulum tubular network
http://purl.obolibrary.org/obo/GO_0036010	protein localization to endosome	http://purl.obolibrary.org/obo/GO_0005768	endosome
http://purl.obolibrary.org/obo/GO_1904759	protein localization to equatorial microtubule organizing center	http://purl.obolibrary.org/obo/GO_0000923	equatorial microtubule organizing center
http://purl.obolibrary.org/obo/GO_1905632	protein localization to euchromatin	http://purl.obolibrary.org/obo/GO_0000791	euchromatin
http://purl.obolibrary.org/obo/GO_0071692	protein localization to extracellular region	http://purl.obolibrary.org/obo/GO_0005576	extracellular region
http://purl.obolibrary.org/obo/GO_1902486	protein localization to growing cell tip	http://purl.obolibrary.org/obo/GO_0035838	growing cell tip
http://purl.obolibrary.org/obo/GO_0097355	protein localization to heterochromatin	http://purl.obolibrary.org/obo/GO_0000792	heterochromatin
http://purl.obolibrary.org/obo/GO_1903696	protein localization to horsetail-astral microtubule array	http://purl.obolibrary.org/obo/GO_0032117	horsetail-astral microtubule array
http://purl.obolibrary.org/obo/GO_1905509	protein localization to interphase microtubule organizing center	http://purl.obolibrary.org/obo/GO_0031021	interphase microtubule organizing center
http://purl.obolibrary.org/obo/GO_0071205	protein localization to juxtaparanode region of axon	http://purl.obolibrary.org/obo/GO_0044224	juxtaparanode region of axon
http://purl.obolibrary.org/obo/GO_0034501	protein localization to kinetochore	http://purl.obolibrary.org/obo/GO_0000776	kinetochore
http://purl.obolibrary.org/obo/GO_1903360	protein localization to lateral cortical node	http://purl.obolibrary.org/obo/GO_1990463	lateral cortical node
http://purl.obolibrary.org/obo/GO_0036181	protein localization to linear element	http://purl.obolibrary.org/obo/GO_0030998	linear element
http://purl.obolibrary.org/obo/GO_1990044	protein localization to lipid droplet	http://purl.obolibrary.org/obo/GO_0005811	lipid droplet
http://purl.obolibrary.org/obo/GO_0061462	protein localization to lysosome	http://purl.obolibrary.org/obo/GO_0005764	lysosome
http://purl.obolibrary.org/obo/GO_1903260	protein localization to mating projection tip	http://purl.obolibrary.org/obo/GO_0043332	mating projection tip
http://purl.obolibrary.org/obo/GO_1903212	protein localization to mating-type region heterochromatin	http://purl.obolibrary.org/obo/GO_0031934	mating-type region heterochromatin
http://purl.obolibrary.org/obo/GO_0071574	protein localization to medial cortex	http://purl.obolibrary.org/obo/GO_0031097	medial cortex
