defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/GO_0006884	cell volume homeostasis	http://purl.obolibrary.org/obo/OBA_0000056	cell volume
http://purl.obolibrary.org/obo/GO_0052372	modulation by symbiont of entry into host	http://purl.obolibrary.org/obo/GO_0044409	entry into host
http://purl.obolibrary.org/obo/GO_0044145	modulation of development of symbiont involved in interaction with host	http://purl.obolibrary.org/obo/GO_0044115	development of symbiont involved in interaction with host
http://purl.obolibrary.org/obo/GO_0075030	modulation of formation of symbiont germ tube hook structure for appressorium development	http://purl.obolibrary.org/obo/GO_0075029	formation of symbiont germ tube hook structure for appressorium development
http://purl.obolibrary.org/obo/GO_0075054	modulation of penetration peg formation	http://purl.obolibrary.org/obo/GO_0075053	penetration peg formation
http://purl.obolibrary.org/obo/GO_0075215	modulation of spore encystment on host	http://purl.obolibrary.org/obo/GO_0075214	spore encystment on host
http://purl.obolibrary.org/obo/GO_0075198	modulation of symbiont haustorium neck formation for entry into host	http://purl.obolibrary.org/obo/GO_0075197	haustorium neck formation
http://purl.obolibrary.org/obo/GO_0075202	modulation of symbiont penetration hypha formation for entry into host	http://purl.obolibrary.org/obo/GO_0075201	penetration hypha formation
http://purl.obolibrary.org/obo/GO_0150102	negative regulation of monocyte activation	http://purl.obolibrary.org/obo/GO_0042117	monocyte activation
http://purl.obolibrary.org/obo/GO_0046719	regulation by virus of viral protein levels in host cell	http://purl.obolibrary.org/obo/OBA_0000181	viral protein levels
http://purl.obolibrary.org/obo/GO_0106107	regulation of (R)-mevalonic acid biosynthetic process	http://purl.obolibrary.org/obo/GO_1901737	(R)-mevalonic acid biosynthetic process
http://purl.obolibrary.org/obo/GO_0150143	regulation of CD80 production	http://purl.obolibrary.org/obo/GO_0035780	CD80 biosynthetic process
http://purl.obolibrary.org/obo/GO_0150140	regulation of CD86 production	http://purl.obolibrary.org/obo/GO_0035781	CD86 biosynthetic process
http://purl.obolibrary.org/obo/GO_0110132	regulation of CRISPR-cas system	http://purl.obolibrary.org/obo/GO_0099048	CRISPR-cas system
http://purl.obolibrary.org/obo/GO_1905918	regulation of CoA-transferase activity	http://purl.obolibrary.org/obo/GO_0008410	CoA-transferase activity
http://purl.obolibrary.org/obo/GO_0140215	regulation of D-aspartate import across plasma membrane	http://purl.obolibrary.org/obo/GO_0070779	D-aspartate import across plasma membrane
http://purl.obolibrary.org/obo/GO_0097752	regulation of DNA stability	http://purl.obolibrary.org/obo/OBA_0007000	DNA stability
http://purl.obolibrary.org/obo/GO_0051090	regulation of DNA-binding transcription factor activity	http://purl.obolibrary.org/obo/GO_0003700	DNA-binding transcription factor activity
http://purl.obolibrary.org/obo/GO_0140122	regulation of Lewy body formation	http://purl.obolibrary.org/obo/GO_0140121	Lewy body formation
http://purl.obolibrary.org/obo/GO_0035297	regulation of Malpighian tubule diameter	http://purl.obolibrary.org/obo/OBA_0000006	Malpighian tubule diameter
http://purl.obolibrary.org/obo/GO_0035298	regulation of Malpighian tubule size	http://purl.obolibrary.org/obo/OBA_0000007	Malpighian tubule size
http://purl.obolibrary.org/obo/GO_0043487	regulation of RNA stability	http://purl.obolibrary.org/obo/OBA_0000009	RNA stability
http://purl.obolibrary.org/obo/GO_0060390	regulation of SMAD protein signal transduction	http://purl.obolibrary.org/obo/GO_0060395	SMAD protein signal transduction
http://purl.obolibrary.org/obo/GO_0050863	regulation of T cell activation	http://purl.obolibrary.org/obo/GO_0042110	T cell activation
http://purl.obolibrary.org/obo/GO_0106278	regulation of UDP-N-acetylglucosamine biosynthetic process	http://purl.obolibrary.org/obo/GO_0006048	UDP-N-acetylglucosamine biosynthetic process
