defined_class	defined_class_label	mechanism	mechanism_label	target	target_label
http://purl.obolibrary.org/obo/GO_0060069	Wnt signaling pathway, regulating spindle positioning	http://purl.obolibrary.org/obo/GO_0035567	non-canonical Wnt signaling pathway	http://purl.obolibrary.org/obo/GO_0040001	establishment of mitotic spindle localization
http://purl.obolibrary.org/obo/GO_0044830	modulation by host of viral RNA genome replication	http://purl.obolibrary.org/obo/GO_0044788	modulation by host of viral process	http://purl.obolibrary.org/obo/GO_0039694	viral RNA genome replication
http://purl.obolibrary.org/obo/GO_0044827	modulation by host of viral genome replication	http://purl.obolibrary.org/obo/GO_0044788	modulation by host of viral process	http://purl.obolibrary.org/obo/GO_0019079	viral genome replication
http://purl.obolibrary.org/obo/GO_0044870	modulation by host of viral glycoprotein metabolic process	http://purl.obolibrary.org/obo/GO_0044788	modulation by host of viral process	http://purl.obolibrary.org/obo/GO_0009100	glycoprotein metabolic process
http://purl.obolibrary.org/obo/GO_0052372	modulation by symbiont of entry into host	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0044409	symbiont entry into host
http://purl.obolibrary.org/obo/GO_0044069	modulation by symbiont of host anion transport	http://purl.obolibrary.org/obo/GO_0044068	symbiont-mediated perturbation of host cellular process	http://purl.obolibrary.org/obo/GO_0006820	monoatomic anion transport
http://purl.obolibrary.org/obo/GO_1903653	modulation by symbiont of host cell motility	http://purl.obolibrary.org/obo/GO_0044068	symbiont-mediated perturbation of host cellular process	http://purl.obolibrary.org/obo/GO_0048870	cell motility
http://purl.obolibrary.org/obo/GO_0020013	modulation by symbiont of host erythrocyte aggregation	http://purl.obolibrary.org/obo/GO_0044068	symbiont-mediated perturbation of host cellular process	http://purl.obolibrary.org/obo/GO_0034117	erythrocyte aggregation
http://purl.obolibrary.org/obo/GO_0044079	modulation by symbiont of host neurotransmitter secretion	http://purl.obolibrary.org/obo/GO_0044068	symbiont-mediated perturbation of host cellular process	http://purl.obolibrary.org/obo/GO_0007269	neurotransmitter secretion
http://purl.obolibrary.org/obo/GO_0044758	modulation by symbiont of host synaptic transmission	http://purl.obolibrary.org/obo/GO_0044068	symbiont-mediated perturbation of host cellular process	http://purl.obolibrary.org/obo/GO_0007268	chemical synaptic transmission
http://purl.obolibrary.org/obo/GO_0039525	modulation by virus of host chromatin organization	http://purl.obolibrary.org/obo/GO_0019048	modulation by virus of host process	http://purl.obolibrary.org/obo/GO_0006325	chromatin organization
http://purl.obolibrary.org/obo/GO_0044831	modulation by virus of host cytokine production	http://purl.obolibrary.org/obo/GO_0075528	perturbation by virus of host immune response	http://purl.obolibrary.org/obo/GO_0001816	cytokine production
http://purl.obolibrary.org/obo/GO_0050804	modulation of chemical synaptic transmission	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0007268	chemical synaptic transmission
http://purl.obolibrary.org/obo/GO_0098815	modulation of excitatory postsynaptic potential	http://purl.obolibrary.org/obo/GO_0050789	regulation of biological process	http://purl.obolibrary.org/obo/GO_0060079	excitatory postsynaptic potential
http://purl.obolibrary.org/obo/GO_0044145	modulation of formation of structure involved in a symbiotic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0044111	formation of structure involved in a symbiotic process
http://purl.obolibrary.org/obo/GO_0075030	modulation of formation of symbiont germ tube hook structure for appressorium development	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0075029	formation of appressorium germ tube hook structure
http://purl.obolibrary.org/obo/GO_0098828	modulation of inhibitory postsynaptic potential	http://purl.obolibrary.org/obo/GO_0050789	regulation of biological process	http://purl.obolibrary.org/obo/GO_0060080	inhibitory postsynaptic potential
http://purl.obolibrary.org/obo/GO_0075054	modulation of penetration peg formation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0075053	penetration peg formation
http://purl.obolibrary.org/obo/GO_0075215	modulation of spore encystment on host	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0075214	spore encystment
http://purl.obolibrary.org/obo/GO_0075198	modulation of symbiont haustorium neck formation for entry into host	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0075197	haustorium neck formation
http://purl.obolibrary.org/obo/GO_1904191	positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in meiotic nuclear division	http://purl.obolibrary.org/obo/GO_0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	http://purl.obolibrary.org/obo/GO_0140013	meiotic nuclear division
http://purl.obolibrary.org/obo/GO_1905012	regulation of 'de novo' NAD biosynthetic process from tryptophan	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0034354	'de novo' NAD biosynthetic process from tryptophan
http://purl.obolibrary.org/obo/GO_1900692	regulation of (+)-kotanin biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1900596	(+)-kotanin biosynthetic process
http://purl.obolibrary.org/obo/GO_0070606	regulation of (1->3)-alpha-glucan biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0070596	(1->3)-alpha-glucan biosynthetic process
http://purl.obolibrary.org/obo/GO_0070605	regulation of (1->3)-alpha-glucan metabolic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0070595	(1->3)-alpha-glucan metabolic process
http://purl.obolibrary.org/obo/GO_0032953	regulation of (1->3)-beta-D-glucan biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006075	(1->3)-beta-D-glucan biosynthetic process
http://purl.obolibrary.org/obo/GO_0032952	regulation of (1->3)-beta-D-glucan metabolic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006074	(1->3)-beta-D-glucan metabolic process
http://purl.obolibrary.org/obo/GO_0060917	regulation of (1->6)-beta-D-glucan biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006078	(1->6)-beta-D-glucan biosynthetic process
http://purl.obolibrary.org/obo/GO_1902272	regulation of (R)-carnitine transmembrane transport	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1902270	(R)-carnitine transmembrane transport
http://purl.obolibrary.org/obo/GO_0106107	regulation of (R)-mevalonic acid biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1901737	(R)-mevalonic acid biosynthetic process
http://purl.obolibrary.org/obo/GO_1900941	regulation of (Z)-nonadeca-1,14-diene biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1900879	(Z)-nonadeca-1,14-diene biosynthetic process
http://purl.obolibrary.org/obo/GO_1900938	regulation of (Z)-nonadeca-1,14-diene metabolic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1900878	(Z)-nonadeca-1,14-diene metabolic process
http://purl.obolibrary.org/obo/GO_0010602	regulation of 1-aminocyclopropane-1-carboxylate metabolic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0018871	1-aminocyclopropane-1-carboxylate metabolic process
