defined_class	defined_class_label	characteristic	characteristic_label
http://purl.obolibrary.org/obo/GO_0006884	cell volume homeostasis	http://purl.obolibrary.org/obo/OBA_0000056	cell volume
http://purl.obolibrary.org/obo/GO_0046719	regulation by virus of viral protein levels in host cell	http://purl.obolibrary.org/obo/OBA_0000181	viral protein levels
http://purl.obolibrary.org/obo/GO_0097752	regulation of DNA stability	http://purl.obolibrary.org/obo/OBA_0007000	DNA stability
http://purl.obolibrary.org/obo/GO_0035297	regulation of Malpighian tubule diameter	http://purl.obolibrary.org/obo/OBA_0000006	Malpighian tubule diameter
http://purl.obolibrary.org/obo/GO_0035298	regulation of Malpighian tubule size	http://purl.obolibrary.org/obo/OBA_0000007	Malpighian tubule size
http://purl.obolibrary.org/obo/GO_0043487	regulation of RNA stability	http://purl.obolibrary.org/obo/OBA_0000009	RNA stability
http://purl.obolibrary.org/obo/GO_0030832	regulation of actin filament length	http://purl.obolibrary.org/obo/OBA_0000011	actin filament length
http://purl.obolibrary.org/obo/GO_0090066	regulation of anatomical structure size	http://purl.obolibrary.org/obo/OBA_0000015	anatomical structure size
http://purl.obolibrary.org/obo/GO_0002002	regulation of angiotensin levels in blood	http://purl.obolibrary.org/obo/OBA_0000016	angiotensin levels in blood
http://purl.obolibrary.org/obo/GO_0032098	regulation of appetite	http://purl.obolibrary.org/obo/OBA_0000018	appetite
http://purl.obolibrary.org/obo/GO_0016243	regulation of autophagosome size	http://purl.obolibrary.org/obo/OBA_0000022	autophagic vacuole size
http://purl.obolibrary.org/obo/GO_0031133	regulation of axon diameter	http://purl.obolibrary.org/obo/OBA_0000023	axon diameter
http://purl.obolibrary.org/obo/GO_0065008	regulation of biological quality	http://purl.obolibrary.org/obo/OBA_0000001	biological attribute
http://purl.obolibrary.org/obo/GO_0050878	regulation of body fluid levels	http://purl.obolibrary.org/obo/OBA_0000036	body fluid levels
http://purl.obolibrary.org/obo/GO_0086036	regulation of cardiac muscle cell membrane potential	http://purl.obolibrary.org/obo/OBA_0000046	cardiac muscle cell membrane potential
http://purl.obolibrary.org/obo/GO_0060305	regulation of cell diameter	http://purl.obolibrary.org/obo/OBA_0000048	cell diameter
http://purl.obolibrary.org/obo/GO_0032536	regulation of cell projection size	http://purl.obolibrary.org/obo/OBA_0000051	cell projection size
http://purl.obolibrary.org/obo/GO_0008361	regulation of cell size	http://purl.obolibrary.org/obo/OBA_0000055	cell size
http://purl.obolibrary.org/obo/GO_0032535	regulation of cellular component size	http://purl.obolibrary.org/obo/OBA_0000057	cellular component size
http://purl.obolibrary.org/obo/GO_0044537	regulation of circulating fibrinogen levels	http://purl.obolibrary.org/obo/OBA_0000061	circulating fibrinogen levels
http://purl.obolibrary.org/obo/GO_0061389	regulation of direction of cell growth	http://purl.obolibrary.org/obo/OBA_0000066	direction of cell growth
http://purl.obolibrary.org/obo/GO_0051036	regulation of endosome size	http://purl.obolibrary.org/obo/OBA_0000068	endosome size
http://purl.obolibrary.org/obo/GO_0032533	regulation of follicle cell microvillus length	http://purl.obolibrary.org/obo/OBA_0000072	follicle cell microvillus length
http://purl.obolibrary.org/obo/GO_0002027	regulation of heart rate	http://purl.obolibrary.org/obo/OBA_1001087	heart rate
http://purl.obolibrary.org/obo/GO_0010817	regulation of hormone levels	http://purl.obolibrary.org/obo/OBA_0000079	hormone levels
http://purl.obolibrary.org/obo/GO_0044719	regulation of imaginal disc-derived wing size	http://purl.obolibrary.org/obo/OBA_0000084	imaginal disc-derived wing size
http://purl.obolibrary.org/obo/GO_0048169	regulation of long-term neuronal synaptic plasticity	http://purl.obolibrary.org/obo/OBA_0000089	long-term neuronal synaptic plasticity
