defined_class	defined_class_label	input	input_label
http://purl.obolibrary.org/obo/GO_0001874	(1->3)-beta-D-glucan immune receptor activity	http://purl.obolibrary.org/obo/CHEBI_37671	(1->3)-beta-D-glucan
http://purl.obolibrary.org/obo/GO_1990080	2-phenylethylamine receptor activity	http://purl.obolibrary.org/obo/CHEBI_225237	2-phenylethanaminium
http://purl.obolibrary.org/obo/GO_0062124	4-hydroxybutyrate receptor activity	http://purl.obolibrary.org/obo/CHEBI_16724	4-hydroxybutyrate
http://purl.obolibrary.org/obo/GO_0038149	C-C motif chemokine 2 receptor activity	http://purl.obolibrary.org/obo/PR_000002122	C-C motif chemokine 2
http://purl.obolibrary.org/obo/GO_0016917	GABA receptor activity	http://purl.obolibrary.org/obo/CHEBI_59888	gamma-aminobutyric acid zwitterion
http://purl.obolibrary.org/obo/GO_0030369	ICAM-3 receptor activity	http://purl.obolibrary.org/obo/PR_000001468	intercellular adhesion molecule 3
http://purl.obolibrary.org/obo/GO_0035643	L-DOPA receptor activity	http://purl.obolibrary.org/obo/CHEBI_57504	L-dopa zwitterion
http://purl.obolibrary.org/obo/GO_0015464	acetylcholine receptor activity	http://purl.obolibrary.org/obo/CHEBI_15355	acetylcholine
http://purl.obolibrary.org/obo/GO_0001595	angiotensin receptor activity	http://purl.obolibrary.org/obo/CHEBI_48433	angiotensin
http://purl.obolibrary.org/obo/GO_0060182	apelin receptor activity	http://purl.obolibrary.org/obo/PR_000004135	apelin
http://purl.obolibrary.org/obo/GO_0034188	apolipoprotein A-I receptor activity	http://purl.obolibrary.org/obo/PR_000004140	apolipoprotein A-I
http://purl.obolibrary.org/obo/GO_0038198	auxin receptor activity	http://purl.obolibrary.org/obo/GOCHE_22676	substance with auxin role
http://purl.obolibrary.org/obo/GO_0008503	benzodiazepine receptor activity	http://purl.obolibrary.org/obo/CHEBI_22720	benzodiazepine
http://purl.obolibrary.org/obo/GO_0004979	beta-endorphin receptor activity	http://purl.obolibrary.org/obo/CHEBI_10415	beta-endorphin
http://purl.obolibrary.org/obo/GO_0004947	bradykinin receptor activity	http://purl.obolibrary.org/obo/CHEBI_132988	bradykinin(2+)
http://purl.obolibrary.org/obo/GO_0060175	brain-derived neurotrophic factor receptor activity	http://purl.obolibrary.org/obo/PR_000004716	brain-derived neurotrophic factor
http://purl.obolibrary.org/obo/GO_0004948	calcitonin receptor activity	http://purl.obolibrary.org/obo/CHEBI_3306	calcitonin
http://purl.obolibrary.org/obo/GO_0004949	cannabinoid receptor activity	http://purl.obolibrary.org/obo/CHEBI_67194	cannabinoid
http://purl.obolibrary.org/obo/GO_0004951	cholecystokinin receptor activity	http://purl.obolibrary.org/obo/PR_000005110	cholecystokinin
http://purl.obolibrary.org/obo/GO_0004897	ciliary neurotrophic factor receptor activity	http://purl.obolibrary.org/obo/PR_000005663	ciliary neurotrophic factor
http://purl.obolibrary.org/obo/GO_0004978	corticotropin receptor activity	http://purl.obolibrary.org/obo/CHEBI_3892	corticotropin
http://purl.obolibrary.org/obo/GO_0043404	corticotropin-releasing hormone receptor activity	http://purl.obolibrary.org/obo/CHEBI_65311	corticotropin-releasing hormone
http://purl.obolibrary.org/obo/GO_0009884	cytokinin receptor activity	http://purl.obolibrary.org/obo/GOCHE_23530	substance with cytokinin role
http://purl.obolibrary.org/obo/GO_0005006	epidermal growth factor receptor activity	http://purl.obolibrary.org/obo/PR_000006928	pro-epidermal growth factor
http://purl.obolibrary.org/obo/GO_0004900	erythropoietin receptor activity	http://purl.obolibrary.org/obo/PR_000007141	erythropoietin
http://purl.obolibrary.org/obo/GO_0038199	ethylene receptor activity	http://purl.obolibrary.org/obo/CHEBI_18153	ethene
http://purl.obolibrary.org/obo/GO_0004966	galanin receptor activity	http://purl.obolibrary.org/obo/PR_000007806	galanin
http://purl.obolibrary.org/obo/GO_0015054	gastrin receptor activity	http://purl.obolibrary.org/obo/PR_000007856	gastrin
http://purl.obolibrary.org/obo/GO_0016167	glial cell-derived neurotrophic factor receptor activity	http://purl.obolibrary.org/obo/PR_000007928	glial cell line-derived neurotrophic factor
http://purl.obolibrary.org/obo/GO_0004967	glucagon receptor activity	http://purl.obolibrary.org/obo/CHEBI_5391	glucagon
http://purl.obolibrary.org/obo/GO_0008066	glutamate receptor activity	http://purl.obolibrary.org/obo/CHEBI_14321	glutamate(1-)
http://purl.obolibrary.org/obo/GO_0004902	granulocyte colony-stimulating factor receptor activity	http://purl.obolibrary.org/obo/PR_000005932	granulocyte colony-stimulating factor
http://purl.obolibrary.org/obo/GO_0004901	granulocyte macrophage colony-stimulating factor receptor activity	http://purl.obolibrary.org/obo/PR_000005931	granulocyte-macrophage colony-stimulating factor
http://purl.obolibrary.org/obo/GO_0004903	growth hormone receptor activity	http://purl.obolibrary.org/obo/GOCHE_37845	substance with growth hormone role
http://purl.obolibrary.org/obo/GO_0001616	growth hormone secretagogue receptor activity	http://purl.obolibrary.org/obo/PR_000007973	appetite-regulating hormone
http://purl.obolibrary.org/obo/GO_0016520	growth hormone-releasing hormone receptor activity	http://purl.obolibrary.org/obo/PR_000007971	somatoliberin
http://purl.obolibrary.org/obo/GO_0005008	hepatocyte growth factor receptor activity	http://purl.obolibrary.org/obo/PR_000008534	hepatocyte growth factor
http://purl.obolibrary.org/obo/GO_0004969	histamine receptor activity	http://purl.obolibrary.org/obo/CHEBI_58432	histaminium
http://purl.obolibrary.org/obo/GO_0004953	icosanoid receptor activity	http://purl.obolibrary.org/obo/CHEBI_23899	icosanoid
http://purl.obolibrary.org/obo/GO_0005009	insulin receptor activity	http://purl.obolibrary.org/obo/PR_000009054	insulin gene translation product
http://purl.obolibrary.org/obo/GO_0004908	interleukin-1 receptor activity	http://purl.obolibrary.org/obo/PR_000001091	interleukin-1
http://purl.obolibrary.org/obo/GO_0004920	interleukin-10 receptor activity	http://purl.obolibrary.org/obo/PR_000001471	interleukin-10
http://purl.obolibrary.org/obo/GO_0004921	interleukin-11 receptor activity	http://purl.obolibrary.org/obo/PR_000001366	interleukin-11
http://purl.obolibrary.org/obo/GO_0016515	interleukin-13 receptor activity	http://purl.obolibrary.org/obo/PR_000001370	interleukin-13
http://purl.obolibrary.org/obo/GO_0042010	interleukin-15 receptor activity	http://purl.obolibrary.org/obo/PR_000001373	interleukin-15
http://purl.obolibrary.org/obo/GO_0042012	interleukin-16 receptor activity	http://purl.obolibrary.org/obo/PR_000001374	interleukin-16
http://purl.obolibrary.org/obo/GO_0030368	interleukin-17 receptor activity	http://purl.obolibrary.org/obo/PR_000001092	interleukin-17
http://purl.obolibrary.org/obo/GO_0042008	interleukin-18 receptor activity	http://purl.obolibrary.org/obo/PR_000001376	interleukin-18
http://purl.obolibrary.org/obo/GO_0042014	interleukin-19 receptor activity	http://purl.obolibrary.org/obo/PR_000001472	interleukin-19
http://purl.obolibrary.org/obo/GO_0004911	interleukin-2 receptor activity	http://purl.obolibrary.org/obo/PR_000001379	interleukin-2
http://purl.obolibrary.org/obo/GO_0042016	interleukin-20 receptor activity	http://purl.obolibrary.org/obo/PR_000001473	interleukin-20
http://purl.obolibrary.org/obo/GO_0001532	interleukin-21 receptor activity	http://purl.obolibrary.org/obo/PR_000001382	interleukin-21
http://purl.obolibrary.org/obo/GO_0042018	interleukin-22 receptor activity	http://purl.obolibrary.org/obo/PR_000001383	interleukin-22
http://purl.obolibrary.org/obo/GO_0045506	interleukin-24 receptor activity	http://purl.obolibrary.org/obo/PR_000001474	interleukin-24
http://purl.obolibrary.org/obo/GO_0045507	interleukin-25 receptor activity	http://purl.obolibrary.org/obo/PR_000001113	interleukin-25
http://purl.obolibrary.org/obo/GO_0045508	interleukin-26 receptor activity	http://purl.obolibrary.org/obo/PR_000001475	interleukin-26
http://purl.obolibrary.org/obo/GO_0045509	interleukin-27 receptor activity	http://purl.obolibrary.org/obo/PR_000001141	interleukin-17D
http://purl.obolibrary.org/obo/GO_0004912	interleukin-3 receptor activity	http://purl.obolibrary.org/obo/PR_000001387	interleukin-3
