defined_class	defined_class_label	cargo	cargo_label
http://purl.obolibrary.org/obo/GO_1902418	(+)-abscisic acid D-glucopyranosyl ester transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_62436	(+)-abscisic acid D-glucopyranosyl ester
http://purl.obolibrary.org/obo/GO_1902270	(R)-carnitine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16347	(R)-carnitine
http://purl.obolibrary.org/obo/GO_1902357	2-isopropylmalate(2-) transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_28107	2-isopropylmalate(2-)
http://purl.obolibrary.org/obo/GO_0046411	2-keto-3-deoxygluconate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57990	2-dehydro-3-deoxy-D-gluconate
http://purl.obolibrary.org/obo/GO_1902559	3'-phospho-5'-adenylyl sulfate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_58339	3'-phosphonato-5'-adenylyl sulfate(4-)
http://purl.obolibrary.org/obo/GO_1902558	5'-adenylyl sulfate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_58243	5'-adenylyl sulfate(2-)
http://purl.obolibrary.org/obo/GO_1903088	5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_28498	acadesine
http://purl.obolibrary.org/obo/GO_0015782	CMP-N-acetylneuraminate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57812	CMP-N-acetyl-beta-neuraminate(2-)
http://purl.obolibrary.org/obo/GO_0042941	D-alanine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57416	D-alanine zwitterion
http://purl.obolibrary.org/obo/GO_0015754	D-allose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_37690	allose
http://purl.obolibrary.org/obo/GO_0070777	D-aspartate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_29990	D-aspartate(1-)
http://purl.obolibrary.org/obo/GO_0042875	D-galactonate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_12931	D-galactonate
http://purl.obolibrary.org/obo/GO_0042870	D-glucarate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_30612	D-glucarate(2-)
http://purl.obolibrary.org/obo/GO_1904659	D-glucose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_4167	D-glucopyranose
http://purl.obolibrary.org/obo/GO_0042874	D-glucuronate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_15748	D-glucuronate
http://purl.obolibrary.org/obo/GO_0048473	D-methionine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57932	D-methionine zwitterion
http://purl.obolibrary.org/obo/GO_0015752	D-ribose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16988	D-ribose
http://purl.obolibrary.org/obo/GO_0042942	D-serine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_35247	D-serine zwitterion
http://purl.obolibrary.org/obo/GO_0015753	D-xylose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_15936	aldehydo-D-xylose
http://purl.obolibrary.org/obo/GO_0035350	FAD transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57692	FAD(3-)
http://purl.obolibrary.org/obo/GO_0015783	GDP-fucose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_64608	GDP-fucose
http://purl.obolibrary.org/obo/GO_1990570	GDP-mannose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_21168	GDP-mannose
http://purl.obolibrary.org/obo/GO_1904557	L-alanine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57972	L-alanine zwitterion
http://purl.obolibrary.org/obo/GO_1902475	L-alpha-amino acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_59869	L-alpha-amino acid zwitterion
http://purl.obolibrary.org/obo/GO_0042882	L-arabinose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_30849	L-arabinose
http://purl.obolibrary.org/obo/GO_0015882	L-ascorbic acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_38290	L-ascorbate
http://purl.obolibrary.org/obo/GO_0070778	L-aspartate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_29991	L-aspartate(1-)
http://purl.obolibrary.org/obo/GO_0089709	L-histidine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57595	L-histidine zwitterion
http://purl.obolibrary.org/obo/GO_0015726	L-idonate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17796	L-idonate
http://purl.obolibrary.org/obo/GO_0140924	L-kynurenine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57959	L-kynurenine zwitterion
http://purl.obolibrary.org/obo/GO_1903401	L-lysine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_32551	L-lysinium(1+)
http://purl.obolibrary.org/obo/GO_1903352	L-ornithine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_46911	L-ornithinium(1+)
http://purl.obolibrary.org/obo/GO_1904555	L-proline transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_60039	L-proline zwitterion
http://purl.obolibrary.org/obo/GO_1904556	L-tryptophan transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57912	L-tryptophan zwitterion
http://purl.obolibrary.org/obo/GO_1903785	L-valine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57762	L-valine zwitterion
