iri	iri label	target	target label
GO:0070384	Harderian gland development	UBERON:0004187	Harderian gland
GO:0003164	His-Purkinje system development	UBERON:0004146	His-Purkinje system
GO:0072002	Malpighian tubule development	UBERON:0001054	Malpighian tubule
GO:0048541	Peyer's patch development	UBERON:0001211	Peyer's patch
GO:0003165	Purkinje myocyte development	UBERON:0002354	cardiac Purkinje fiber
GO:0021984	adenohypophysis development	UBERON:0002196	adenohypophysis
GO:0060612	adipose tissue development	UBERON:0001013	adipose tissue
GO:0035801	adrenal cortex development	UBERON:0001235	adrenal cortex
GO:0030325	adrenal gland development	UBERON:0002369	adrenal gland
GO:1905069	allantois development	UBERON:0004340	allantois
GO:0061143	alveolar primary septum development	UBERON:0005314	alveolar primary septum
GO:0061144	alveolar secondary septum development	UBERON:0005315	alveolar secondary septum
GO:0021541	ammon gyrus development	UBERON:0001954	Ammon's horn
GO:0003386	amphid sensory organ development	UBERON:0005067	amphid sensory organ
GO:0033335	anal fin development	UBERON:4000163	anal fin
GO:0048513	animal organ development	UBERON:0000062	organ
GO:0048899	anterior lateral line development	UBERON:2001470	anterior lateral line
GO:0048907	anterior lateral line ganglion development	UBERON:2001391	anterior lateral line ganglion
GO:0048901	anterior lateral line neuromast development	UBERON:2001472	anterior lateral line neuromast
GO:0048898	anterior lateral line system development	UBERON:2001468	anterior lateral line system
GO:0072165	anterior mesonephric tubule development	UBERON:0005104	anterior mesonephric tubule
GO:0060873	anterior semicircular canal development	UBERON:0001841	anterior semicircular canal
GO:0035904	aorta development	UBERON:0000947	aorta
GO:0003176	aortic valve development	UBERON:0002137	aortic valve
GO:0048736	appendage development	UBERON:0000026	appendage
GO:0060840	artery development	UBERON:0001637	artery
GO:0035905	ascending aorta development	UBERON:0001496	ascending aorta
GO:0072021	ascending thin limb development	UBERON:0004193	loop of Henle ascending limb thin segment
GO:0003228	atrial cardiac muscle tissue development	UBERON:0002302	myocardium of atrium
GO:0003283	atrial septum development	UBERON:0002085	interatrial septum
GO:0003286	atrial septum intermedium development	UBERON:0004159	atrial septum intermedium
GO:0003162	atrioventricular node development	UBERON:0002352	atrioventricular node
GO:0003171	atrioventricular valve development	UBERON:0002133	atrioventricular valve
GO:0048483	autonomic nervous system development	UBERON:0002410	autonomic nervous system
GO:1990375	baculum development	UBERON:0006435	os penis
GO:0071728	beak development	UBERON:0005094	beak
GO:0001568	blood vessel development	UBERON:0001981	blood vessel
GO:0060348	bone development	UBERON:0001474	bone element
GO:0048539	bone marrow development	UBERON:0002371	bone marrow
GO:0007420	brain development	UBERON:0000955	brain
