iri	iri label	target	target label
GO:0061332	Malpighian tubule bud morphogenesis	UBERON:0001054	Malpighian tubule
GO:0060061	Spemann organizer formation	UBERON:0003062	primitive knot
GO:0048847	adenohypophysis formation	UBERON:0002196	adenohypophysis
GO:0035802	adrenal cortex formation	UBERON:0001235	adrenal cortex
GO:0097186	amelogenesis	UBERON:0001752	enamel
GO:0007378	amnioserosa formation	UBERON:0010302	amnioserosa
GO:0001525	angiogenesis	UBERON:0001981	blood vessel
GO:0048645	animal organ formation	UBERON:0003103	compound organ
GO:0003189	aortic valve formation	UBERON:0002137	aortic valve
GO:0003190	atrioventricular valve formation	UBERON:0002133	atrioventricular valve
GO:0071730	beak formation	UBERON:0005094	beak
GO:0060346	bone trabecula formation	UBERON:0008867	trabecular network of bone
GO:0003234	bulbus arteriosus formation	UBERON:0004152	bulbus arteriosus
GO:0003210	cardiac atrium formation	UBERON:0002081	cardiac atrium
GO:0003207	cardiac chamber formation	UBERON:0004151	cardiac chamber
GO:0003216	cardiac left atrium formation	UBERON:0002079	left cardiac atrium
GO:0003218	cardiac left ventricle formation	UBERON:0002084	heart left ventricle
GO:0003217	cardiac right atrium formation	UBERON:0002078	right cardiac atrium
GO:0003219	cardiac right ventricle formation	UBERON:0002080	heart right ventricle
GO:0003211	cardiac ventricle formation	UBERON:0002082	cardiac ventricle
GO:0021556	central nervous system formation	UBERON:0001017	central nervous system
GO:0021588	cerebellum formation	UBERON:0002037	cerebellum
GO:0007304	chorion-containing eggshell formation	UBERON:0005307	chorion-containing eggshell
GO:0003240	conus arteriosus formation	UBERON:0003983	conus arteriosus
GO:0003191	coronary sinus valve formation	UBERON:0004150	coronary sinus valve
GO:0061560	cranial ganglion formation	UBERON:0001714	cranial ganglion
GO:0097187	dentinogenesis	UBERON:0001751	dentine
GO:0001705	ectoderm formation	UBERON:0000924	ectoderm
GO:0030703	eggshell formation	UBERON:0005079	eggshell
GO:0003144	embryonic heart tube formation	UBERON:0004141	heart tube
GO:0003272	endocardial cushion formation	UBERON:0002062	endocardial cushion
GO:0060214	endocardium formation	UBERON:0002165	endocardium
GO:0001706	endoderm formation	UBERON:0000925	endoderm
GO:0021508	floor plate formation	UBERON:0003079	floor plate
GO:0021905	forebrain-midbrain boundary formation	UBERON:0005075	forebrain-midbrain boundary
GO:0001704	formation of primary germ layer	UBERON:0000923	germ layer
GO:0061198	fungiform papilla formation	UBERON:0002448	fungiform papilla
GO:0061554	ganglion formation	UBERON:0000045	ganglion
GO:0002467	germinal center formation	UBERON:0001745	secondary nodular lymphoid tissue
GO:0072104	glomerular capillary formation	UBERON:0004212	glomerular capillary
GO:0072117	head kidney formation	UBERON:0007132	head kidney
GO:0060914	heart formation	UBERON:0000948	heart
