defined_class	defined_class_label	target	target_label
http://purl.obolibrary.org/obo/GO_0048799	animal organ maturation	http://purl.obolibrary.org/obo/UBERON_0000062	organ
http://purl.obolibrary.org/obo/GO_0001955	blood vessel maturation	http://purl.obolibrary.org/obo/UBERON_0001981	blood vessel
http://purl.obolibrary.org/obo/GO_0070977	bone maturation	http://purl.obolibrary.org/obo/UBERON_0001474	bone element
http://purl.obolibrary.org/obo/GO_0021626	central nervous system maturation	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/GO_0021590	cerebellum maturation	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum
http://purl.obolibrary.org/obo/GO_0048820	hair follicle maturation	http://purl.obolibrary.org/obo/UBERON_0002073	hair follicle
http://purl.obolibrary.org/obo/GO_0072121	head kidney maturation	http://purl.obolibrary.org/obo/UBERON_0007132	head kidney
http://purl.obolibrary.org/obo/GO_0021578	hindbrain maturation	http://purl.obolibrary.org/obo/UBERON_0002028	hindbrain
http://purl.obolibrary.org/obo/GO_0021706	locus ceruleus maturation	http://purl.obolibrary.org/obo/UBERON_0002148	locus ceruleus
http://purl.obolibrary.org/obo/GO_0021582	medulla oblongata maturation	http://purl.obolibrary.org/obo/UBERON_0001896	medulla oblongata
http://purl.obolibrary.org/obo/GO_0021732	midbrain-hindbrain boundary maturation	http://purl.obolibrary.org/obo/UBERON_0003052	midbrain-hindbrain boundary
http://purl.obolibrary.org/obo/GO_0021586	pons maturation	http://purl.obolibrary.org/obo/UBERON_0000988	pons
http://purl.obolibrary.org/obo/GO_0072120	pronephros maturation	http://purl.obolibrary.org/obo/UBERON_0002120	pronephros
