iri	iri label	anatomical_structure	anatomical_structure label	anatomical_structure_morphogenesis	anatomical_structure_morphogenesis label
GO:0007443	Malpighian tubule morphogenesis	UBERON:0001054	Malpighian tubule	GO:0009653	anatomical structure morphogenesis
GO:0061146	Peyer's patch morphogenesis	UBERON:0001211	Peyer's patch	GO:0009653	anatomical structure morphogenesis
GO:0048855	adenohypophysis morphogenesis	UBERON:0002196	adenohypophysis	GO:0009653	anatomical structure morphogenesis
GO:0035144	anal fin morphogenesis	UBERON:4000163	anal fin	GO:0009653	anatomical structure morphogenesis
GO:0009887	animal organ morphogenesis	UBERON:0000062	organ	GO:0009653	anatomical structure morphogenesis
GO:0048800	antennal morphogenesis	UBERON:0000972	antenna	GO:0009653	anatomical structure morphogenesis
GO:0035909	aorta morphogenesis	UBERON:0000947	aorta	GO:0009653	anatomical structure morphogenesis
GO:0060414	aorta smooth muscle tissue morphogenesis	UBERON:0004178	aorta smooth muscle tissue	GO:0009653	anatomical structure morphogenesis
GO:0003180	aortic valve morphogenesis	UBERON:0002137	aortic valve	GO:0009653	anatomical structure morphogenesis
GO:0035107	appendage morphogenesis	UBERON:0000026	appendage	GO:0009653	anatomical structure morphogenesis
GO:0048844	artery morphogenesis	UBERON:0001637	artery	GO:0009653	anatomical structure morphogenesis
GO:0035910	ascending aorta morphogenesis	UBERON:0001496	ascending aorta	GO:0009653	anatomical structure morphogenesis
GO:0055009	atrial cardiac muscle tissue morphogenesis	UBERON:0004490	cardiac muscle tissue of atrium	GO:0009653	anatomical structure morphogenesis
GO:0003291	atrial septum intermedium morphogenesis	UBERON:0004159	atrial septum intermedium	GO:0009653	anatomical structure morphogenesis
GO:0060413	atrial septum morphogenesis	UBERON:0002085	interatrial septum	GO:0009653	anatomical structure morphogenesis
GO:0003289	atrial septum primum morphogenesis	UBERON:0004154	atrial septum primum	GO:0009653	anatomical structure morphogenesis
GO:0003290	atrial septum secundum morphogenesis	UBERON:0004155	atrial septum secundum	GO:0009653	anatomical structure morphogenesis
GO:0003181	atrioventricular valve morphogenesis	UBERON:0002133	atrioventricular valve	GO:0009653	anatomical structure morphogenesis
GO:0071729	beak morphogenesis	UBERON:0005094	beak	GO:0009653	anatomical structure morphogenesis
GO:0048514	blood vessel morphogenesis	UBERON:0001981	blood vessel	GO:0009653	anatomical structure morphogenesis
GO:0010171	body morphogenesis	UBERON:0000468	multicellular organism	GO:0009653	anatomical structure morphogenesis
GO:0060349	bone morphogenesis	UBERON:0001474	bone element	GO:0009653	anatomical structure morphogenesis
GO:0048854	brain morphogenesis	UBERON:0000955	brain	GO:0009653	anatomical structure morphogenesis
GO:0048754	branching morphogenesis of an epithelial tube	UBERON:0000025	tube	GO:0001763	morphogenesis of a branching structure
GO:0060436	bronchiole morphogenesis	UBERON:0002186	bronchiole	GO:0009653	anatomical structure morphogenesis
GO:0060533	bronchus cartilage morphogenesis	UBERON:0001956	cartilage of bronchus	GO:0009653	anatomical structure morphogenesis
GO:0060434	bronchus morphogenesis	UBERON:0002185	bronchus	GO:0009653	anatomical structure morphogenesis
GO:0003233	bulbus arteriosus morphogenesis	UBERON:0004152	bulbus arteriosus	GO:0009653	anatomical structure morphogenesis
GO:0048593	camera-type eye morphogenesis	UBERON:0000019	camera-type eye	GO:0009653	anatomical structure morphogenesis
GO:0003209	cardiac atrium morphogenesis	UBERON:0002081	cardiac atrium	GO:0009653	anatomical structure morphogenesis
GO:0003206	cardiac chamber morphogenesis	UBERON:0004151	cardiac chamber	GO:0009653	anatomical structure morphogenesis
GO:0003212	cardiac left atrium morphogenesis	UBERON:0002079	left cardiac atrium	GO:0009653	anatomical structure morphogenesis
GO:0003214	cardiac left ventricle morphogenesis	UBERON:0002084	heart left ventricle	GO:0009653	anatomical structure morphogenesis
GO:0055008	cardiac muscle tissue morphogenesis	UBERON:0001133	cardiac muscle tissue	GO:0009653	anatomical structure morphogenesis
GO:0003213	cardiac right atrium morphogenesis	UBERON:0002078	right cardiac atrium	GO:0009653	anatomical structure morphogenesis
GO:0003215	cardiac right ventricle morphogenesis	UBERON:0002080	heart right ventricle	GO:0009653	anatomical structure morphogenesis
GO:0060411	cardiac septum morphogenesis	UBERON:0002099	cardiac septum	GO:0009653	anatomical structure morphogenesis
GO:0003208	cardiac ventricle morphogenesis	UBERON:0002082	cardiac ventricle	GO:0009653	anatomical structure morphogenesis
GO:0060536	cartilage morphogenesis	UBERON:0007844	cartilage element	GO:0009653	anatomical structure morphogenesis
GO:0035143	caudal fin morphogenesis	UBERON:4000164	caudal fin	GO:0009653	anatomical structure morphogenesis
GO:0021551	central nervous system morphogenesis	UBERON:0001017	central nervous system	GO:0009653	anatomical structure morphogenesis
GO:0021587	cerebellum morphogenesis	UBERON:0002037	cerebellum	GO:0009653	anatomical structure morphogenesis
