defined_class	defined_class_label	target	target_label
http://purl.obolibrary.org/obo/GO_0021597	central nervous system structural organization	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/GO_0021589	cerebellum structural organization	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum
http://purl.obolibrary.org/obo/GO_0021577	hindbrain structural organization	http://purl.obolibrary.org/obo/UBERON_0002028	hindbrain
http://purl.obolibrary.org/obo/GO_0021581	medulla oblongata structural organization	http://purl.obolibrary.org/obo/UBERON_0001896	medulla oblongata
http://purl.obolibrary.org/obo/GO_0048338	mesoderm structural organization	http://purl.obolibrary.org/obo/UBERON_0000926	mesoderm
http://purl.obolibrary.org/obo/GO_0021552	midbrain-hindbrain boundary structural organization	http://purl.obolibrary.org/obo/UBERON_0003052	midbrain-hindbrain boundary
http://purl.obolibrary.org/obo/GO_0003409	optic cup structural organization	http://purl.obolibrary.org/obo/UBERON_0003072	optic cup
http://purl.obolibrary.org/obo/GO_0021585	pons structural organization	http://purl.obolibrary.org/obo/UBERON_0000988	pons
http://purl.obolibrary.org/obo/GO_0072118	pronephros structural organization	http://purl.obolibrary.org/obo/UBERON_0002120	pronephros
http://purl.obolibrary.org/obo/GO_0021595	rhombomere structural organization	http://purl.obolibrary.org/obo/UBERON_0001892	rhombomere
