defined class	defined class label	def_dbxrefs	regulated_activity	regulated_activity label
GO:1990600		PMID:25203555	GO:0000014	
GO:0008047		GOC:dph|GOC:mah|GOC:tb	GO:0003824	
GO:0005096		GOC:mah	GO:0003924	
GO:0010856		GOC:dph|GOC:tb	GO:0004016	
GO:0061133		GOC:dph|GOC:tb	GO:0004175	
GO:0030250		GOC:mah	GO:0004383	
GO:0098744		PMID:21288895	GO:0004430	
GO:0060230		GOC:BHF|GOC:dph|GOC:tb|PMID:10727238	GO:0004465	
GO:0036470		GOC:PARL|GOC:bf|PMID:19703902	GO:0004511	
GO:0044692		GOC:rb|PMID:22570495	GO:0004532	
GO:0042978		GOC:jl	GO:0004586	
GO:0060228		GOC:BHF|GOC:dph|GOC:tb|PMID:4335615	GO:0004607	
GO:0016004		GOC:ai	GO:0004620	
GO:0016005		GOC:ai	GO:0004623	
GO:1990583		PMID:7972129	GO:0004630	
GO:1990749		GOC:kmv|PMID:19460348	GO:0004652	
GO:0030295		GOC:ai	GO:0004672	
GO:0043539		GOC:go_curators	GO:0004674	
GO:0061575		GOC:dph|PMID:2569363|PMID:3322810	GO:0004693	
GO:0030296		GOC:ai|ISBN:0198506732	GO:0004713	
GO:0030297		GOC:mah	GO:0004714	
GO:0072542		GOC:mah	GO:0004721	
GO:0008160		GOC:ai|ISBN:0198506732	GO:0004725	
GO:0016230		GOC:ai	GO:0004767	
GO:0097027		GOC:rb|PMID:18321851	GO:0004842	
GO:0030546		GOC:ceb	GO:0004872	
GO:0010861		GOC:dph|GOC:mah|GOC:tb|PMID:9346901	GO:0004887	
GO:0099104		GOC:dos	GO:0005267	
GO:0016504		GOC:ai	GO:0008233	
GO:0061632		GOC:dph|PMID:24919400	GO:0008419	
GO:0071884		GOC:BHF|GOC:vk	GO:0008434	
GO:0018237		GOC:mah|PMID:16244137	GO:0009039	
GO:0010853		GOC:dph|GOC:tb	GO:0009975	
GO:0099103		GOC:dos	GO:0015267	
GO:0030549		GOC:mah	GO:0015464	
GO:0016176		GOC:ai	GO:0016175	
GO:0060229		GOC:BHF|GOC:dph|GOC:tb	GO:0016298	
GO:0019209		GOC:ai	GO:0016301	
GO:0010698		GOC:dph|GOC:jp|GOC:tb|PMID:18690240	GO:0016407	
GO:0019211		GOC:ai	GO:0016791	
GO:0001671		GOC:ajp	GO:0016887	
GO:0036478		GOC:PARL|GOC:bf	GO:0036468	
GO:1990521		PMID:22323607	GO:0050072	
GO:0016483		GOC:ai	GO:0004510	
