defined_class	def_dbxrefs	regulated_activity
http://purl.obolibrary.org/obo/GO_0030234	GOC:dph,GOC:mah,GOC:tb	http://purl.obolibrary.org/obo/GO_0003824
http://purl.obolibrary.org/obo/GO_0030695	GOC:mah	http://purl.obolibrary.org/obo/GO_0003924
http://purl.obolibrary.org/obo/GO_0060308	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0003934
http://purl.obolibrary.org/obo/GO_0043763	GOC:jl	http://purl.obolibrary.org/obo/GO_0003983
http://purl.obolibrary.org/obo/GO_1990610	PMID:8972574	http://purl.obolibrary.org/obo/GO_0003984
http://purl.obolibrary.org/obo/GO_0010307	PMID:16377628	http://purl.obolibrary.org/obo/GO_0003991
http://purl.obolibrary.org/obo/GO_0010854	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0004016
http://purl.obolibrary.org/obo/GO_0061135	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0004175
http://purl.obolibrary.org/obo/GO_1990609	PMID:8103521	http://purl.obolibrary.org/obo/GO_0004357
http://purl.obolibrary.org/obo/GO_0030249	GOC:mah	http://purl.obolibrary.org/obo/GO_0004383
http://purl.obolibrary.org/obo/GO_0035034	GOC:bf	http://purl.obolibrary.org/obo/GO_0004402
http://purl.obolibrary.org/obo/GO_0035033	GOC:bf	http://purl.obolibrary.org/obo/GO_0004407
http://purl.obolibrary.org/obo/GO_0048270	EC:2.5.1.6,GOC:jid,PMID:10644686	http://purl.obolibrary.org/obo/GO_0004478
http://purl.obolibrary.org/obo/GO_0030235	GOC:mah	http://purl.obolibrary.org/obo/GO_0004517
http://purl.obolibrary.org/obo/GO_0042979	GOC:jl	http://purl.obolibrary.org/obo/GO_0004586
http://purl.obolibrary.org/obo/GO_0019887	GOC:ai	http://purl.obolibrary.org/obo/GO_0004672
http://purl.obolibrary.org/obo/GO_0008607	EC:2.7.11.19	http://purl.obolibrary.org/obo/GO_0004689
http://purl.obolibrary.org/obo/GO_0008603	GOC:ai	http://purl.obolibrary.org/obo/GO_0004691
http://purl.obolibrary.org/obo/GO_0016538	GOC:pr,GOC:rn,PMID:7877684,PMID:9442875	http://purl.obolibrary.org/obo/GO_0004693
http://purl.obolibrary.org/obo/GO_0019888	GOC:ai	http://purl.obolibrary.org/obo/GO_0004721
http://purl.obolibrary.org/obo/GO_0008597	EC:3.1.3.16,GOC:ai	http://purl.obolibrary.org/obo/GO_0004723
http://purl.obolibrary.org/obo/GO_0019909	EC:3.1.3.43,GOC:ai	http://purl.obolibrary.org/obo/GO_0004741
http://purl.obolibrary.org/obo/GO_0055106	GOC:BHF,GOC:rl	http://purl.obolibrary.org/obo/GO_0004842
http://purl.obolibrary.org/obo/GO_0030545	GOC:ceb	http://purl.obolibrary.org/obo/GO_0004872
http://purl.obolibrary.org/obo/GO_0099106	GOC:dos	http://purl.obolibrary.org/obo/GO_0005216
http://purl.obolibrary.org/obo/GO_0017081	GOC:mah	http://purl.obolibrary.org/obo/GO_0005254
http://purl.obolibrary.org/obo/GO_0005246	GOC:mah	http://purl.obolibrary.org/obo/GO_0005262
http://purl.obolibrary.org/obo/GO_0015459	GOC:dos,GOC:mah	http://purl.obolibrary.org/obo/GO_0005267
http://purl.obolibrary.org/obo/GO_0017080	GOC:mah	http://purl.obolibrary.org/obo/GO_0005272
http://purl.obolibrary.org/obo/GO_0061134	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0008233
http://purl.obolibrary.org/obo/GO_0010851	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0009975
http://purl.obolibrary.org/obo/GO_0010858	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0010857
http://purl.obolibrary.org/obo/GO_0016247	GOC:mah	http://purl.obolibrary.org/obo/GO_0015267
http://purl.obolibrary.org/obo/GO_0030548	GOC:mah	http://purl.obolibrary.org/obo/GO_0015464
http://purl.obolibrary.org/obo/GO_0019207	GOC:ai	http://purl.obolibrary.org/obo/GO_0016301
http://purl.obolibrary.org/obo/GO_0046935	GOC:ai	http://purl.obolibrary.org/obo/GO_0016303
http://purl.obolibrary.org/obo/GO_0019208	GOC:ai	http://purl.obolibrary.org/obo/GO_0016791
http://purl.obolibrary.org/obo/GO_0055103	GOC:BHF,GOC:rl	http://purl.obolibrary.org/obo/GO_0016874
http://purl.obolibrary.org/obo/GO_0060590	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0016887
http://purl.obolibrary.org/obo/GO_0017020	EC:3.1.3.16,GOC:ai	http://purl.obolibrary.org/obo/GO_0017018
http://purl.obolibrary.org/obo/GO_0060589	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0017111
http://purl.obolibrary.org/obo/GO_0019914	GOC:ai	http://purl.obolibrary.org/obo/GO_0019912
http://purl.obolibrary.org/obo/GO_0099602	GOC:dos,PMID:12740117,PMID:25172949	http://purl.obolibrary.org/obo/GO_0030594
http://purl.obolibrary.org/obo/GO_0035014	GOC:bf,PMID:9255069	http://purl.obolibrary.org/obo/GO_0035004
http://purl.obolibrary.org/obo/GO_0070917	GOC:mah	http://purl.obolibrary.org/obo/GO_0045140
http://purl.obolibrary.org/obo/GO_0042556	GOC:jl,PMID:11904175  
http://purl.obolibrary.org/obo/GO_0097713	GOC:vw,PMID:10835346  
http://purl.obolibrary.org/obo/GO_0072586	GOC:mah 
