defined_class	defined_class_label	taxon	taxon_label	source
GO:0000132	establishment of mitotic spindle orientation	NCBITaxon:2759	Eukaryota	
GO:0000165	MAPK cascade	NCBITaxon:2759	Eukaryota	
GO:0000278	mitotic cell cycle	NCBITaxon:2759	Eukaryota	
GO:0000282	cellular bud site selection	NCBITaxon:4751	Fungi	
GO:0000324	fungal-type vacuole	NCBITaxon:4751	Fungi	
GO:0000325	plant-type vacuole	NCBITaxon:33090	Viridiplantae	
GO:0000327	lytic vacuole within protein storage vacuole	NCBITaxon:33090	Viridiplantae	
GO:0000328	fungal-type vacuole lumen	NCBITaxon:4751	Fungi	
GO:0000329	fungal-type vacuole membrane	NCBITaxon:4751	Fungi	
GO:0000330	plant-type vacuole lumen	NCBITaxon:33090	Viridiplantae	
GO:0000345	cytosolic DNA-directed RNA polymerase complex	NCBITaxon:2	Bacteria	
GO:0000426	micropexophagy	NCBITaxon:716545	saccharomyceta	
GO:0000747	conjugation with cellular fusion	NCBITaxon:Union_0000022	Fungi or Dictyostelium	
GO:0000748	conjugation with mutual genetic exchange	NCBITaxon:5878	Ciliophora	
GO:0000749	response to pheromone triggering conjugation with cellular fusion	NCBITaxon:4751	Fungi	
GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion	NCBITaxon:4751	Fungi	
GO:0000751	mitotic cell cycle G1 arrest in response to pheromone	NCBITaxon:4751	Fungi	
GO:0000755	cytogamy	NCBITaxon:4751	Fungi	
GO:0000911	cytokinesis by cell plate formation	NCBITaxon:33090	Viridiplantae	
GO:0000916	actomyosin contractile ring contraction	NCBITaxon:2759	Eukaryota	
GO:0000936	primary cell septum	NCBITaxon:2759	Eukaryota	
GO:0001070	RNA-binding transcription regulator activity	NCBITaxon:10239	Viruses	
GO:0001403	invasive growth in response to glucose limitation	NCBITaxon:4751	Fungi	
GO:0001410	chlamydospore formation	NCBITaxon:4751	Fungi	
GO:0001520	outer dense fiber	NCBITaxon:40674	Mammalia	
GO:0001533	cornified envelope	NCBITaxon:33208	Metazoa	
GO:0001555	oocyte growth	NCBITaxon:33208	Metazoa	
GO:0001556	oocyte maturation	NCBITaxon:33208	Metazoa	
GO:0001673	male germ cell nucleus	NCBITaxon:2759	Eukaryota	
GO:0001674	female germ cell nucleus	NCBITaxon:2759	Eukaryota	
GO:0001700	embryonic development via the syncytial blastoderm	NCBITaxon:50557	Insecta	
GO:0001701	in utero embryonic development	NCBITaxon:32525	Theria <Mammalia>	
GO:0001702	gastrulation with mouth forming second	NCBITaxon:33511	Deuterostomia	
GO:0001703	gastrulation with mouth forming first	NCBITaxon:33317	Protostomia	
GO:0001740	Barr body	NCBITaxon:40674	Mammalia	
GO:0001745	compound eye morphogenesis	NCBITaxon:6656	Arthropoda	
GO:0001748	optic lobe placode development	NCBITaxon:6656	Arthropoda	
GO:0001824	blastocyst development	NCBITaxon:32525	Theria <Mammalia>	
GO:0001890	placenta development	NCBITaxon:32525	Theria <Mammalia>	
GO:0001967	suckling behavior	NCBITaxon:40674	Mammalia	
GO:0002119	nematode larval development	NCBITaxon:33213	Bilateria	
GO:0002165	instar larval or pupal development	NCBITaxon:6656	Arthropoda	
GO:0002250	adaptive immune response	NCBITaxon:33208	Metazoa	
GO:0002414	immunoglobulin transcytosis in epithelial cells	NCBITaxon:33208	Metazoa	
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	NCBITaxon:7776	Gnathostomata <vertebrate>	
GO:0003341	cilium movement	NCBITaxon:2759	Eukaryota	
GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity	NCBITaxon:2759	Eukaryota	
GO:0005183	gonadotropin hormone-releasing hormone activity	NCBITaxon:33208	Metazoa	
GO:0005212	structural constituent of eye lens	NCBITaxon:6072	Eumetazoa	
GO:0005214	structural constituent of chitin-based cuticle	NCBITaxon:6656	Arthropoda	
GO:0005521	lamin binding	NCBITaxon:33208	Metazoa	
GO:0005581	collagen trimer	NCBITaxon:33208	Metazoa	PMID:12382326
GO:0005628	prospore membrane	NCBITaxon:4890	Ascomycota	
GO:0005634	nucleus	NCBITaxon:2759	Eukaryota	
GO:0005739	mitochondrion	NCBITaxon:2759	Eukaryota	
GO:0005768	endosome	NCBITaxon:2759	Eukaryota	
GO:0005783	endoplasmic reticulum	NCBITaxon:2759	Eukaryota	
GO:0005786	signal recognition particle, endoplasmic reticulum targeting	NCBITaxon:2759	Eukaryota	
GO:0005794	Golgi apparatus	NCBITaxon:2759	Eukaryota	
GO:0005816	spindle pole body	NCBITaxon:4751	Fungi	
GO:0005826	actomyosin contractile ring	NCBITaxon:2759	Eukaryota	
GO:0005850	eukaryotic translation initiation factor 2 complex	NCBITaxon:2759	Eukaryota	
GO:0005851	eukaryotic translation initiation factor 2B complex	NCBITaxon:2759	Eukaryota	
GO:0005852	eukaryotic translation initiation factor 3 complex	NCBITaxon:2759	Eukaryota	
GO:0005853	eukaryotic translation elongation factor 1 complex	NCBITaxon:2759	Eukaryota	
GO:0005917	nephrocyte diaphragm	NCBITaxon:50557	Insecta	
GO:0005918	septate junction	NCBITaxon:6656	Arthropoda	
GO:0005921	gap junction	NCBITaxon:6072	Eumetazoa	
GO:0005929	cilium	NCBITaxon:2759	Eukaryota	
GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex	NCBITaxon:2759	Eukaryota	
GO:0006914	autophagy	NCBITaxon:2759	Eukaryota	
GO:0006915	apoptotic process	NCBITaxon:33154	Opisthokonta	
GO:0006954	inflammatory response	NCBITaxon:7742	Vertebrata <Metazoa>	
GO:0007052	mitotic spindle organization	NCBITaxon:2759	Eukaryota	
GO:0007053	spindle assembly involved in male meiosis	NCBITaxon:2759	Eukaryota	
GO:0007056	spindle assembly involved in female meiosis	NCBITaxon:2759	Eukaryota	
GO:0007159	leukocyte cell-cell adhesion	NCBITaxon:33208	Metazoa	
GO:0007282	cystoblast division	NCBITaxon:6656	Arthropoda	
GO:0007293	germarium-derived egg chamber formation	NCBITaxon:6656	Arthropoda	
GO:0007294	germarium-derived oocyte fate determination	NCBITaxon:50557	Insecta	
GO:0007295	growth of a germarium-derived egg chamber	NCBITaxon:50557	Insecta	
GO:0007297	ovarian follicle cell migration	NCBITaxon:50557	Insecta	
GO:0007299	ovarian follicle cell-cell adhesion	NCBITaxon:50557	Insecta	
GO:0007300	ovarian nurse cell to oocyte transport	NCBITaxon:50557	Insecta	
GO:0007301	female germline ring canal formation	NCBITaxon:50557	Insecta	
GO:0007338	single fertilization	NCBITaxon:2759	Eukaryota	
GO:0007400	neuroblast fate determination	NCBITaxon:33208	Metazoa	
GO:0007403	glial cell fate determination	NCBITaxon:33208	Metazoa	
GO:0007405	neuroblast proliferation	NCBITaxon:33208	Metazoa	
GO:0007407	neuroblast activation	NCBITaxon:33208	Metazoa	
GO:0007424	open tracheal system development	NCBITaxon:6656	Arthropoda	
GO:0007425	epithelial cell fate determination, open tracheal system	NCBITaxon:50557	Insecta	
GO:0007426	tracheal outgrowth, open tracheal system	NCBITaxon:33317	Protostomia	
GO:0007427	epithelial cell migration, open tracheal system	NCBITaxon:33317	Protostomia	
GO:0007428	primary branching, open tracheal system	NCBITaxon:33317	Protostomia	
GO:0007429	secondary branching, open tracheal system	NCBITaxon:33317	Protostomia	
GO:0007430	terminal branching, open tracheal system	NCBITaxon:33317	Protostomia	
GO:0007444	imaginal disc development	NCBITaxon:6656	Arthropoda	
GO:0007458	progression of morphogenetic furrow involved in compound eye morphogenesis	NCBITaxon:33392	Holometabola	
GO:0007480	imaginal disc-derived leg morphogenesis	NCBITaxon:33392	Holometabola	
GO:0007484	imaginal disc-derived genitalia development	NCBITaxon:6656	Arthropoda	
GO:0007486	imaginal disc-derived female genitalia development	NCBITaxon:33392	Holometabola	
GO:0007503	fat body development	NCBITaxon:6656	Arthropoda	
GO:0007516	hemocyte development	NCBITaxon:6656	Arthropoda	
GO:0007565	female pregnancy	NCBITaxon:40674	Mammalia	
GO:0007591	molting cycle, chitin-based cuticle	NCBITaxon:6656	Arthropoda	
GO:0007594	puparial adhesion	NCBITaxon:7147	Diptera	
GO:0007595	lactation	NCBITaxon:40674	Mammalia	
GO:0007610	behavior	NCBITaxon:33208	Metazoa	
GO:0008069	dorsal/ventral axis specification, ovarian follicular epithelium	NCBITaxon:50557	Insecta	
GO:0008190	eukaryotic initiation factor 4E binding	NCBITaxon:2759	Eukaryota	
GO:0008302	female germline ring canal formation, actin assembly	NCBITaxon:50557	Insecta	
GO:0008316	structural constituent of vitelline membrane	NCBITaxon:6656	Arthropoda	
GO:0008347	glial cell migration	NCBITaxon:33208	Metazoa	
GO:0008364	pupal chitin-based cuticle development	NCBITaxon:50557	Insecta	
GO:0008583	mystery cell differentiation	NCBITaxon:33392	Holometabola	
GO:0008917	lipopolysaccharide N-acetylglucosaminyltransferase activity	NCBITaxon:2	Bacteria	
GO:0008918	lipopolysaccharide 3-alpha-galactosyltransferase activity	NCBITaxon:2	Bacteria	
GO:0008919	lipopolysaccharide glucosyltransferase I activity	NCBITaxon:2	Bacteria	
GO:0009103	lipopolysaccharide biosynthetic process	NCBITaxon:2	Bacteria	
GO:0009252	peptidoglycan biosynthetic process	NCBITaxon:2	Bacteria	
GO:0009272	fungal-type cell wall biogenesis	NCBITaxon:4751	Fungi	
GO:0009273	peptidoglycan-based cell wall biogenesis	NCBITaxon:2	Bacteria	
GO:0009274	peptidoglycan-based cell wall	NCBITaxon:2	Bacteria	
GO:0009275	Gram-positive-bacterium-type cell wall	NCBITaxon:2	Bacteria	
GO:0009276	Gram-negative-bacterium-type cell wall	NCBITaxon:2	Bacteria	
GO:0009277	fungal-type cell wall	NCBITaxon:4751	Fungi	
GO:0009288	bacterial-type flagellum	NCBITaxon:2	Bacteria	
GO:0009291	unidirectional conjugation	NCBITaxon:Union_0000004	Prokaryota	
GO:0009399	nitrogen fixation	NCBITaxon:Union_0000004	Prokaryota	
GO:0009501	amyloplast	NCBITaxon:33090	Viridiplantae	
GO:0009503	thylakoid light-harvesting complex	NCBITaxon:33090	Viridiplantae	
GO:0009505	plant-type cell wall	NCBITaxon:33090	Viridiplantae	
GO:0009509	chromoplast	NCBITaxon:33090	Viridiplantae	
GO:0009513	etioplast	NCBITaxon:33090	Viridiplantae	
GO:0009515	granal stacked thylakoid	NCBITaxon:33090	Viridiplantae	
GO:0009516	leucoplast	NCBITaxon:33090	Viridiplantae	
